Date,Streamflow,Year,Month,Day
1962-01-01,26.9,1962,1,1
1962-02-01,26.7,1962,2,1
1962-03-01,26.5,1962,3,1
1962-04-01,43.8,1962,4,1
1962-05-01,184,1962,5,1
1962-06-01,67,1962,6,1
1962-07-01,51.8,1962,7,1
1962-08-01,79.2,1962,8,1
1962-09-01,75.2,1962,9,1
1962-10-01,61.1,1962,10,1
1962-11-01,38.9,1962,11,1
1962-12-01,28.4,1962,12,1
1963-01-01,28.2,1963,1,1
1963-02-01,27.5,1963,2,1
1963-03-01,27.8,1963,3,1
1963-04-01,29.8,1963,4,1
1963-05-01,217,1963,5,1
1963-06-01,142,1963,6,1
1963-07-01,46.2,1963,7,1
1963-08-01,41.5,1963,8,1
1963-09-01,50.4,1963,9,1
1963-10-01,45.8,1963,10,1
1963-11-01,33.7,1963,11,1
1963-12-01,35.6,1963,12,1
1964-01-01,33.7,1964,1,1
1964-02-01,26.6,1964,2,1
1964-03-01,24.7,1964,3,1
1964-04-01,25.6,1964,4,1
1964-05-01,229,1964,5,1
1964-06-01,94.7,1964,6,1
1964-07-01,37.4,1964,7,1
1964-08-01,33.7,1964,8,1
1964-09-01,62.1,1964,9,1
1964-10-01,41,1964,10,1
1964-11-01,34.3,1964,11,1
1964-12-01,32,1964,12,1
1965-01-01,31.2,1965,1,1
1965-02-01,28.7,1965,2,1
1965-03-01,28.3,1965,3,1
1965-04-01,30.3,1965,4,1
1965-05-01,171,1965,5,1
1965-06-01,91.2,1965,6,1
1965-07-01,55.3,1965,7,1
1965-08-01,52,1965,8,1
1965-09-01,74.1,1965,9,1
1965-10-01,75.3,1965,10,1
1965-11-01,48.7,1965,11,1
1965-12-01,39.9,1965,12,1
1966-01-01,36.8,1966,1,1
1966-02-01,33.3,1966,2,1
1966-03-01,32.6,1966,3,1
1966-04-01,33.1,1966,4,1
1966-05-01,209,1966,5,1
1966-06-01,133,1966,6,1
1966-07-01,55.9,1966,7,1
1966-08-01,47.2,1966,8,1
1966-09-01,69.4,1966,9,1
1966-10-01,72.5,1966,10,1
1966-11-01,45.6,1966,11,1
1966-12-01,36.8,1966,12,1
1967-01-01,31.1,1967,1,1
1967-02-01,30.4,1967,2,1
1967-03-01,30,1967,3,1
1967-04-01,78.8,1967,4,1
