Date,Streamflow,Precip,Year,Month,Day
01/01/1979,0.95,2.2,1979,1,1
02/01/1979,0.94,0.2,1979,1,2
03/01/1979,0.935,0,1979,1,3
04/01/1979,0.925,0,1979,1,4
05/01/1979,0.92,1,1979,1,5
06/01/1979,0.91,0.6,1979,1,6
07/01/1979,0.9,0.9,1979,1,7
08/01/1979,0.895,0,1979,1,8
09/01/1979,0.89,0,1979,1,9
10/01/1979,0.88,0,1979,1,10
11/01/1979,0.875,0,1979,1,11
12/01/1979,0.865,0,1979,1,12
13/01/1979,0.86,0,1979,1,13
14/01/1979,0.85,0,1979,1,14
15/01/1979,0.84,0,1979,1,15
16/01/1979,0.835,0,1979,1,16
17/01/1979,0.83,0,1979,1,17
18/01/1979,0.82,1.4,1979,1,18
19/01/1979,0.815,0,1979,1,19
20/01/1979,0.81,0.2,1979,1,20
21/01/1979,0.8,0.2,1979,1,21
22/01/1979,0.795,0,1979,1,22
23/01/1979,0.79,0,1979,1,23
24/01/1979,0.78,1,1979,1,24
25/01/1979,0.775,0,1979,1,25
26/01/1979,0.77,0,1979,1,26
27/01/1979,0.76,0,1979,1,27
28/01/1979,0.755,0,1979,1,28
29/01/1979,0.75,0,1979,1,29
30/01/1979,0.743,0,1979,1,30
31/01/1979,0.74,0,1979,1,31
01/02/1979,0.73,0.2,1979,2,1
02/02/1979,0.725,0,1979,2,2
03/02/1979,0.72,0.2,1979,2,3
04/02/1979,0.715,0,1979,2,4
05/02/1979,0.71,0,1979,2,5
06/02/1979,0.705,0,1979,2,6
07/02/1979,0.7,0,1979,2,7
08/02/1979,0.695,1,1979,2,8
09/02/1979,0.685,0,1979,2,9
10/02/1979,0.68,0.8,1979,2,10
11/02/1979,0.675,0,1979,2,11
12/02/1979,0.67,0,1979,2,12
13/02/1979,0.663,0,1979,2,13
14/02/1979,0.657,0,1979,2,14
15/02/1979,0.65,0.4,1979,2,15
16/02/1979,0.645,0,1979,2,16
17/02/1979,0.64,0,1979,2,17
18/02/1979,0.635,0.2,1979,2,18
19/02/1979,0.63,0,1979,2,19
20/02/1979,0.625,0,1979,2,20
21/02/1979,0.62,0.4,1979,2,21
22/02/1979,0.613,0.4,1979,2,22
23/02/1979,0.605,0,1979,2,23
24/02/1979,0.6,0,1979,2,24
25/02/1979,0.595,0,1979,2,25
26/02/1979,0.59,4,1979,2,26
27/02/1979,0.585,1,1979,2,27
28/02/1979,0.58,0,1979,2,28
01/03/1979,0.575,0.8,1979,3,1
02/03/1979,0.57,0,1979,3,2
03/03/1979,0.565,0,1979,3,3
04/03/1979,0.56,0,1979,3,4
05/03/1979,0.555,0.2,1979,3,5
06/03/1979,0.55,2,1979,3,6
07/03/1979,0.545,1,1979,3,7
08/03/1979,0.54,12,1979,3,8
09/03/1979,0.535,1.2,1979,3,9
10/03/1979,0.53,3.1,1979,3,10
11/03/1979,0.525,0,1979,3,11
12/03/1979,0.52,0,1979,3,12
13/03/1979,0.52,0.4,1979,3,13
14/03/1979,0.515,0.2,1979,3,14
15/03/1979,0.51,0,1979,3,15
16/03/1979,0.505,0,1979,3,16
17/03/1979,0.5,0,1979,3,17
18/03/1979,0.5,3,1979,3,18
19/03/1979,0.495,0.4,1979,3,19
20/03/1979,0.49,0,1979,3,20
21/03/1979,0.485,1.7,1979,3,21
22/03/1979,0.48,1.1,1979,3,22
23/03/1979,0.48,0,1979,3,23
24/03/1979,0.475,0,1979,3,24
25/03/1979,0.47,0,1979,3,25
26/03/1979,0.465,0,1979,3,26
27/03/1979,0.46,0,1979,3,27
28/03/1979,0.459,0,1979,3,28
29/03/1979,0.455,1.2,1979,3,29
30/03/1979,0.45,0.5,1979,3,30
31/03/1979,0.45,0,1979,3,31
01/04/1979,0.445,0,1979,4,1
02/04/1979,0.44,0,1979,4,2
03/04/1979,0.435,0,1979,4,3
04/04/1979,0.43,0,1979,4,4
05/04/1979,0.43,0,1979,4,5
06/04/1979,0.425,0,1979,4,6
07/04/1979,0.42,0,1979,4,7
08/04/1979,0.42,0.6,1979,4,8
09/04/1979,0.415,0,1979,4,9
10/04/1979,0.41,0,1979,4,10
11/04/1979,0.41,0,1979,4,11
12/04/1979,0.405,0,1979,4,12
13/04/1979,0.4,0,1979,4,13
14/04/1979,0.4,4.5,1979,4,14
15/04/1979,0.4,0.2,1979,4,15
16/04/1979,0.4,0,1979,4,16
17/04/1979,0.4,0,1979,4,17
18/04/1979,0.4,0,1979,4,18
19/04/1979,0.41,0,1979,4,19
20/04/1979,0.42,0,1979,4,20
21/04/1979,0.43,0.2,1979,4,21
22/04/1979,0.445,0,1979,4,22
23/04/1979,0.465,0,1979,4,23
24/04/1979,0.5,0,1979,4,24
25/04/1979,0.56,0,1979,4,25
26/04/1979,0.64,0,1979,4,26
27/04/1979,0.75,0,1979,4,27
28/04/1979,0.86,0,1979,4,28
29/04/1979,0.99,0,1979,4,29
30/04/1979,1.14,0,1979,4,30
01/05/1979,1.33,0,1979,5,1
02/05/1979,1.54,1.7,1979,5,2
03/05/1979,1.75,0,1979,5,3
04/05/1979,2.03,0,1979,5,4
05/05/1979,2.35,0.8,1979,5,5
06/05/1979,2.7,0,1979,5,6
07/05/1979,3.1,3.8,1979,5,7
08/05/1979,3.6,10.2,1979,5,8
09/05/1979,4.1,0,1979,5,9
10/05/1979,4.8,0,1979,5,10
11/05/1979,5.6,6.8,1979,5,11
12/05/1979,6.4,2.8,1979,5,12
13/05/1979,7.4,2.3,1979,5,13
14/05/1979,8.6,0,1979,5,14
15/05/1979,10,0,1979,5,15
16/05/1979,11.5,0,1979,5,16
17/05/1979,13.3,11,1979,5,17
18/05/1979,15.5,1.4,1979,5,18
19/05/1979,18,0,1979,5,19
20/05/1979,20.1,0,1979,5,20
21/05/1979,24,0,1979,5,21
22/05/1979,28,0,1979,5,22
23/05/1979,31,0,1979,5,23
24/05/1979,33.5,0,1979,5,24
25/05/1979,35,1.4,1979,5,25
26/05/1979,37,0,1979,5,26
27/05/1979,38,0,1979,5,27
28/05/1979,39,0,1979,5,28
29/05/1979,41,0,1979,5,29
30/05/1979,42.7,12,1979,5,30
31/05/1979,41.9,5.2,1979,5,31
01/06/1979,43.3,0.3,1979,6,1
02/06/1979,45.6,5.3,1979,6,2
03/06/1979,47.7,0,1979,6,3
04/06/1979,48.5,0,1979,6,4
05/06/1979,48.1,0,1979,6,5
06/06/1979,48.3,9.6,1979,6,6
07/06/1979,48.4,0.3,1979,6,7
08/06/1979,46.8,0,1979,6,8
09/06/1979,46.6,1.4,1979,6,9
10/06/1979,45.4,0,1979,6,10
11/06/1979,43.8,0,1979,6,11
12/06/1979,41.4,0,1979,6,12
13/06/1979,38.1,0.3,1979,6,13
14/06/1979,35,11.4,1979,6,14
15/06/1979,32.6,0.6,1979,6,15
16/06/1979,31.7,0,1979,6,16
17/06/1979,30.5,0,1979,6,17
18/06/1979,30.1,0,1979,6,18
19/06/1979,28.4,0,1979,6,19
20/06/1979,24.3,2.6,1979,6,20
21/06/1979,21.6,0,1979,6,21
22/06/1979,20.5,0,1979,6,22
23/06/1979,19.3,0,1979,6,23
24/06/1979,17.2,4.3,1979,6,24
25/06/1979,16,5.4,1979,6,25
26/06/1979,17,3.4,1979,6,26
27/06/1979,16.7,0,1979,6,27
28/06/1979,17.8,0,1979,6,28
29/06/1979,17.5,0,1979,6,29
30/06/1979,17.4,0,1979,6,30
01/07/1979,17,0,1979,7,1
02/07/1979,15.8,0,1979,7,2
03/07/1979,14.3,0,1979,7,3
04/07/1979,12.9,0,1979,7,4
05/07/1979,11.9,0,1979,7,5
06/07/1979,11.3,3.7,1979,7,6
07/07/1979,10.3,0.2,1979,7,7
08/07/1979,9.24,4.9,1979,7,8
09/07/1979,8.81,0.6,1979,7,9
10/07/1979,9.49,0,1979,7,10
11/07/1979,8.67,0,1979,7,11
12/07/1979,8.14,2.2,1979,7,12
13/07/1979,8,8.8,1979,7,13
14/07/1979,9.85,47.1,1979,7,14
15/07/1979,14.9,0.6,1979,7,15
16/07/1979,22.8,0.6,1979,7,16
17/07/1979,31.4,2.4,1979,7,17
18/07/1979,40.2,0,1979,7,18
19/07/1979,45.4,0,1979,7,19
20/07/1979,48.3,10.7,1979,7,20
21/07/1979,48.4,0,1979,7,21
22/07/1979,47,1.9,1979,7,22
23/07/1979,44.5,7.4,1979,7,23
24/07/1979,41.8,0,1979,7,24
25/07/1979,39.7,0,1979,7,25
26/07/1979,36.9,0,1979,7,26
27/07/1979,33.2,3.2,1979,7,27
28/07/1979,30.1,0.2,1979,7,28
29/07/1979,26.7,0,1979,7,29
30/07/1979,24.3,1.5,1979,7,30
31/07/1979,21.1,2.1,1979,7,31
01/08/1979,21.6,5.4,1979,8,1
02/08/1979,23.4,0.2,1979,8,2
03/08/1979,24.1,2,1979,8,3
04/08/1979,23.8,0.2,1979,8,4
05/08/1979,22.4,0,1979,8,5
06/08/1979,20.6,4.3,1979,8,6
07/08/1979,19.1,2.9,1979,8,7
08/08/1979,18.3,0,1979,8,8
09/08/1979,16.8,0,1979,8,9
10/08/1979,15.6,0,1979,8,10
11/08/1979,14.9,2,1979,8,11
12/08/1979,13.1,0.4,1979,8,12
13/08/1979,12.1,0.8,1979,8,13
14/08/1979,12.1,0,1979,8,14
15/08/1979,11.8,0,1979,8,15
16/08/1979,11,0,1979,8,16
17/08/1979,9.92,0,1979,8,17
18/08/1979,9.01,1.4,1979,8,18
19/08/1979,8.39,2.8,1979,8,19
20/08/1979,7.95,16.4,1979,8,20
21/08/1979,9.24,0.2,1979,8,21
22/08/1979,8.5,0,1979,8,22
23/08/1979,8.07,0,1979,8,23
24/08/1979,8.48,3.4,1979,8,24
25/08/1979,8.15,0.2,1979,8,25
26/08/1979,8.13,1.6,1979,8,26
27/08/1979,8.06,2.4,1979,8,27
28/08/1979,8.64,9.3,1979,8,28
29/08/1979,8.77,1.8,1979,8,29
30/08/1979,8.51,0,1979,8,30
31/08/1979,8.58,0.3,1979,8,31
01/09/1979,8.09,7.8,1979,9,1
02/09/1979,8.01,0,1979,9,2
03/09/1979,8.01,0,1979,9,3
04/09/1979,7.92,0,1979,9,4
05/09/1979,7.48,0,1979,9,5
06/09/1979,7.42,4.2,1979,9,6
07/09/1979,7.48,0,1979,9,7
08/09/1979,7.39,1,1979,9,8
09/09/1979,7.22,0.4,1979,9,9
10/09/1979,6.71,0,1979,9,10
11/09/1979,6.74,4.1,1979,9,11
12/09/1979,6.8,1.6,1979,9,12
13/09/1979,6.77,0.2,1979,9,13
14/09/1979,6.83,1.2,1979,9,14
15/09/1979,6.63,3.6,1979,9,15
16/09/1979,6.79,2.2,1979,9,16
17/09/1979,7.39,25.1,1979,9,17
18/09/1979,10.2,0,1979,9,18
19/09/1979,12,0.2,1979,9,19
20/09/1979,13.9,2.4,1979,9,20
21/09/1979,15.5,0.2,1979,9,21
22/09/1979,16.4,0,1979,9,22
23/09/1979,17,0.6,1979,9,23
24/09/1979,16.9,1.7,1979,9,24
25/09/1979,16.7,0,1979,9,25
26/09/1979,16.6,1.2,1979,9,26
27/09/1979,16.1,0,1979,9,27
28/09/1979,16.3,0,1979,9,28
29/09/1979,15.8,9.2,1979,9,29
30/09/1979,16.6,0,1979,9,30
01/10/1979,16.7,0,1979,10,1
02/10/1979,16.2,4.6,1979,10,2
03/10/1979,17.4,2.4,1979,10,3
04/10/1979,19.2,4.6,1979,10,4
05/10/1979,20.9,2.8,1979,10,5
06/10/1979,22.6,0,1979,10,6
07/10/1979,23.3,0,1979,10,7
08/10/1979,23.3,0.4,1979,10,8
09/10/1979,22.6,2.6,1979,10,9
10/10/1979,21.2,0.2,1979,10,10
11/10/1979,20.1,0.2,1979,10,11
12/10/1979,18.5,0,1979,10,12
13/10/1979,17.9,0,1979,10,13
14/10/1979,17.4,0,1979,10,14
15/10/1979,15.6,3,1979,10,15
16/10/1979,14.6,0.6,1979,10,16
17/10/1979,14,0,1979,10,17
18/10/1979,13.2,5,1979,10,18
19/10/1979,12.5,5.3,1979,10,19
20/10/1979,13,0.9,1979,10,20
21/10/1979,12.9,0,1979,10,21
22/10/1979,12.8,0,1979,10,22
23/10/1979,12.4,0.2,1979,10,23
24/10/1979,12.4,0,1979,10,24
25/10/1979,12.1,0,1979,10,25
26/10/1979,12,0,1979,10,26
27/10/1979,11.8,0,1979,10,27
28/10/1979,10.7,0,1979,10,28
29/10/1979,10.7,0,1979,10,29
30/10/1979,10.4,0.6,1979,10,30
31/10/1979,10,0.3,1979,10,31
01/11/1979,9.99,8.7,1979,11,1
02/11/1979,9.54,0.5,1979,11,2
03/11/1979,9.33,0.2,1979,11,3
04/11/1979,9.15,1.6,1979,11,4
05/11/1979,8.97,0.5,1979,11,5
06/11/1979,8.79,0.4,1979,11,6
07/11/1979,8.61,0.6,1979,11,7
08/11/1979,8.4,0.2,1979,11,8
09/11/1979,8.22,0,1979,11,9
10/11/1979,8.1,0,1979,11,10
11/11/1979,8,0.4,1979,11,11
12/11/1979,7.81,0.3,1979,11,12
13/11/1979,7.66,2.8,1979,11,13
14/11/1979,7.51,2.2,1979,11,14
15/11/1979,7.36,4.2,1979,11,15
