Date,Streamflow,Precip,Year,Month,Day
1974-10-16,0.716,1,1974,10,16
1974-10-17,0.685,0,1974,10,17
1974-10-18,0.651,7.1,1974,10,18
1974-10-19,0.62,6.4,1974,10,19
1974-10-20,0.589,0.3,1974,10,20
1974-10-21,0.561,0,1974,10,21
1974-10-22,0.532,0,1974,10,22
1974-10-23,0.507,0,1974,10,23
1974-10-24,0.484,0,1974,10,24
1974-10-25,0.462,0,1974,10,25
1974-10-26,0.439,0,1974,10,26
1974-10-27,0.419,0,1974,10,27
1974-10-28,0.402,2.5,1974,10,28
1974-10-29,0.385,0,1974,10,29
1974-10-30,0.368,0,1974,10,30
1974-10-31,0.351,0,1974,10,31
1974-11-01,0.334,0,1974,11,1
1974-11-02,0.323,0,1974,11,2
1974-11-03,0.306,0,1974,11,3
1974-11-04,0.294,0,1974,11,4
1974-11-05,0.278,2.8,1974,11,5
1974-11-06,0.269,2.5,1974,11,6
1974-11-07,0.258,0.3,1974,11,7
1974-11-08,0.246,0,1974,11,8
1974-11-09,0.238,0,1974,11,9
1974-11-10,0.227,0.5,1974,11,10
1974-11-11,0.218,0,1974,11,11
1974-11-12,0.21,0.8,1974,11,12
1974-11-13,0.201,0,1974,11,13
1974-11-14,0.195,0,1974,11,14
1974-11-15,0.187,0,1974,11,15
1974-11-16,0.181,1,1974,11,16
1974-11-17,0.173,0,1974,11,17
1974-11-18,0.167,0,1974,11,18
1974-11-19,0.161,0.5,1974,11,19
1974-11-20,0.156,1.8,1974,11,20
1974-11-21,0.15,0,1974,11,21
1974-11-22,0.144,0,1974,11,22
1974-11-23,0.139,0,1974,11,23
1974-11-24,0.133,0,1974,11,24
1974-11-25,0.13,0.5,1974,11,25
1974-11-26,0.125,0,1974,11,26
1974-11-27,0.122,0,1974,11,27
1974-11-28,0.116,0,1974,11,28
1974-11-29,0.113,0,1974,11,29
1974-11-30,0.108,2.5,1974,11,30
1974-12-01,0.105,1.8,1974,12,1
1974-12-02,0.102,5.1,1974,12,2
1974-12-03,0.099,5.1,1974,12,3
1974-12-04,0.096,5.6,1974,12,4
1974-12-05,0.093,2.5,1974,12,5
1974-12-06,0.091,0,1974,12,6
1974-12-07,0.088,0,1974,12,7
1974-12-08,0.088,0,1974,12,8
1974-12-09,0.085,0,1974,12,9
1974-12-10,0.082,0.5,1974,12,10
1974-12-11,0.079,0,1974,12,11
1974-12-12,0.076,0,1974,12,12
1974-12-13,0.076,0,1974,12,13
1974-12-14,0.074,0,1974,12,14
1974-12-15,0.071,0,1974,12,15
1974-12-16,0.071,4.6,1974,12,16
1974-12-17,0.068,2.3,1974,12,17
1974-12-18,0.068,0,1974,12,18
1974-12-19,0.065,0,1974,12,19
1974-12-20,0.065,0.3,1974,12,20
1974-12-21,0.062,0,1974,12,21
1974-12-22,0.062,0,1974,12,22
1974-12-23,0.059,1.3,1974,12,23
1974-12-24,0.059,0,1974,12,24
1974-12-25,0.057,0,1974,12,25
1974-12-26,0.057,4.3,1974,12,26
1974-12-27,0.054,2.5,1974,12,27
1974-12-28,0.054,0,1974,12,28
1974-12-29,0.054,1.3,1974,12,29
1974-12-30,0.051,0,1974,12,30
1974-12-31,0.051,0.8,1974,12,31
1975-01-01,0.051,0,1975,1,1
1975-01-02,0.051,0,1975,1,2
1975-01-03,0.051,0.8,1975,1,3
1975-01-04,0.051,1.5,1975,1,4
1975-01-05,0.051,3,1975,1,5
1975-01-06,0.051,1.5,1975,1,6
1975-01-07,0.051,0,1975,1,7
1975-01-08,0.051,0,1975,1,8
1975-01-09,0.051,0,1975,1,9
1975-01-10,0.048,0,1975,1,10
1975-01-11,0.048,0,1975,1,11
1975-01-12,0.048,1.3,1975,1,12
1975-01-13,0.048,0.5,1975,1,13
1975-01-14,0.048,0.3,1975,1,14
1975-01-15,0.045,0,1975,1,15
1975-01-16,0.045,0,1975,1,16
1975-01-17,0.045,2,1975,1,17
1975-01-18,0.045,0.3,1975,1,18
1975-01-19,0.045,3.6,1975,1,19
1975-01-20,0.042,1.8,1975,1,20
1975-01-21,0.042,0.3,1975,1,21
1975-01-22,0.042,0,1975,1,22
1975-01-23,0.04,0.3,1975,1,23
1975-01-24,0.04,0,1975,1,24
1975-01-25,0.04,0,1975,1,25
1975-01-26,0.037,0,1975,1,26
1975-01-27,0.037,0.3,1975,1,27
1975-01-28,0.037,0,1975,1,28
1975-01-29,0.034,0.3,1975,1,29
1975-01-30,0.034,0,1975,1,30
1975-01-31,0.034,0,1975,1,31
1975-02-01,0.031,0,1975,2,1
1975-02-02,0.031,0,1975,2,2
1975-02-03,0.028,0,1975,2,3
1975-02-04,0.028,0.5,1975,2,4
1975-02-05,0.028,0,1975,2,5
1975-02-06,0.025,0.3,1975,2,6
1975-02-07,0.025,0,1975,2,7
1975-02-08,0.025,0.8,1975,2,8
1975-02-09,0.023,1.3,1975,2,9
1975-02-10,0.023,0,1975,2,10
1975-02-11,0.023,0,1975,2,11
1975-02-12,0.023,0,1975,2,12
1975-02-13,0.02,0.5,1975,2,13
1975-02-14,0.02,0,1975,2,14
1975-02-15,0.02,4.1,1975,2,15
1975-02-16,0.02,0,1975,2,16
1975-02-17,0.017,0,1975,2,17
1975-02-18,0.017,0,1975,2,18
1975-02-19,0.017,0,1975,2,19
1975-02-20,0.017,0,1975,2,20
1975-02-21,0.017,0,1975,2,21
1975-02-22,0.014,0,1975,2,22
1975-02-23,0.014,0,1975,2,23
1975-02-24,0.014,0,1975,2,24
1975-02-25,0.014,0,1975,2,25
1975-02-26,0.011,0,1975,2,26
1975-02-27,0.011,0,1975,2,27
1975-02-28,0.011,0,1975,2,28
1975-03-01,0.008,0,1975,3,1
1975-03-02,0.008,0,1975,3,2
1975-03-03,0.008,0,1975,3,3
1975-03-04,0.008,0,1975,3,4
1975-03-05,0.008,0.3,1975,3,5
1975-03-06,0.006,0,1975,3,6
1975-03-07,0.006,0,1975,3,7
1975-03-08,0.006,0,1975,3,8
1975-03-09,0.006,0,1975,3,9
1975-03-10,0.006,0,1975,3,10
1975-03-11,0.006,0,1975,3,11
1975-03-12,0.003,0.8,1975,3,12
1975-03-13,0.003,0.3,1975,3,13
1975-03-14,0.002,0,1975,3,14
1975-03-15,0.002,1.8,1975,3,15
1975-03-16,0.002,0.3,1975,3,16
1975-03-17,0.002,0.3,1975,3,17
1975-03-18,0.002,0,1975,3,18
1975-03-19,0.002,0.8,1975,3,19
1975-03-20,0.002,0,1975,3,20
1975-03-21,0.001,0,1975,3,21
1975-03-22,0.001,0.5,1975,3,22
