Date,Streamflow,Precip,Year,Month,Day
1991-10-01,8.1,0,1991,10,1
1991-10-02,7.72,0,1991,10,2
1991-10-03,7.36,0,1991,10,3
1991-10-04,6.84,0,1991,10,4
1991-10-05,6.71,0,1991,10,5
1991-10-06,6.48,5.6,1991,10,6
1991-10-07,6.97,20.4,1991,10,7
1991-10-08,19,0,1991,10,8
1991-10-09,27.3,0,1991,10,9
1991-10-10,26.2,0,1991,10,10
1991-10-11,23.3,0,1991,10,11
1991-10-12,21.5,7.8,1991,10,12
1991-10-13,19,3.4,1991,10,13
1991-10-14,18.3,3.2,1991,10,14
1991-10-15,16.8,7.8,1991,10,15
1991-10-16,14.9,0.2,1991,10,16
1991-10-17,11.9,0,1991,10,17
1991-10-18,8.24,0,1991,10,18
1991-10-19,7.94,0,1991,10,19
1991-10-20,8.28,0.2,1991,10,20
1991-10-21,9.19,0.6,1991,10,21
1991-10-22,9.8,0,1991,10,22
1991-10-23,10.6,2.6,1991,10,23
1991-10-24,11.5,0,1991,10,24
1991-10-25,12.5,0.2,1991,10,25
1991-10-26,12.3,0.6,1991,10,26
1991-10-27,12,0,1991,10,27
1991-10-28,11.8,0,1991,10,28
1991-10-29,11.5,0,1991,10,29
1991-10-30,10.5,0,1991,10,30
1991-10-31,9.8,0,1991,10,31
1991-11-01,9.1,0,1991,11,1
1991-11-02,8.4,0,1991,11,2
1991-11-03,7.8,0,1991,11,3
1991-11-04,7.2,0,1991,11,4
1991-11-05,6.7,0,1991,11,5
1991-11-06,6.37,0,1991,11,6
1991-11-07,5.43,0,1991,11,7
1991-11-08,4.9,0,1991,11,8
1991-11-09,4.4,0,1991,11,9
1991-11-10,3.68,1,1991,11,10
1991-11-11,3.3,4.8,1991,11,11
1991-11-12,3.15,1.8,1991,11,12
1991-11-13,3.04,2,1991,11,13
1991-11-14,2.85,0,1991,11,14
1991-11-15,2.63,2.3,1991,11,15
1991-11-16,2.31,0.4,1991,11,16
1991-11-17,2.34,2.5,1991,11,17
1991-11-18,2.36,2.8,1991,11,18
1991-11-19,2.25,0.8,1991,11,19
1991-11-20,2.1,3.2,1991,11,20
1991-11-21,1.98,0,1991,11,21
1991-11-22,1.9,0,1991,11,22
1991-11-23,1.8,0.4,1991,11,23
1991-11-24,1.7,0.4,1991,11,24
1991-11-25,1.65,1.2,1991,11,25
1991-11-26,1.6,0.2,1991,11,26
1991-11-27,1.57,0,1991,11,27
1991-11-28,1.54,0.8,1991,11,28
1991-11-29,1.5,0,1991,11,29
1991-11-30,1.48,0,1991,11,30
1991-12-01,1.45,2.4,1991,12,1
1991-12-02,1.41,0,1991,12,2
