Date,Streamflow,Year,Month,Day
01-Jan-75,,1975,1,1
01-Feb-75,,1975,2,1
01-Mar-75,1.08,1975,3,1
01-Apr-75,23.4,1975,4,1
01-May-75,161,1975,5,1
01-Jun-75,126,1975,6,1
01-Jul-75,103,1975,7,1
01-Aug-75,45.7,1975,8,1
01-Sep-75,38,1975,9,1
01-Oct-75,22.7,1975,10,1
01-Nov-75,,1975,11,1
01-Dec-75,,1975,12,1
01-Jan-76,,1976,1,1
01-Feb-76,,1976,2,1
01-Mar-76,1.97,1976,3,1
01-Apr-76,97.2,1976,4,1
01-May-76,166,1976,5,1
01-Jun-76,215,1976,6,1
01-Jul-76,235,1976,7,1
01-Aug-76,260,1976,8,1
01-Sep-76,219,1976,9,1
01-Oct-76,161,1976,10,1
01-Nov-76,,1976,11,1
01-Dec-76,,1976,12,1
01-Jan-77,,1977,1,1
01-Feb-77,,1977,2,1
01-Mar-77,5,1977,3,1
01-Apr-77,101,1977,4,1
01-May-77,248,1977,5,1
01-Jun-77,613,1977,6,1
01-Jul-77,431,1977,7,1
01-Aug-77,253,1977,8,1
01-Sep-77,171,1977,9,1
01-Oct-77,121,1977,10,1
01-Nov-77,,1977,11,1
01-Dec-77,,1977,12,1
01-Jan-78,,1978,1,1
01-Feb-78,,1978,2,1
01-Mar-78,2.09,1978,3,1
01-Apr-78,12.7,1978,4,1
01-May-78,256,1978,5,1
01-Jun-78,195,1978,6,1
01-Jul-78,97.6,1978,7,1
01-Aug-78,64.1,1978,8,1
01-Sep-78,127,1978,9,1
01-Oct-78,80.4,1978,10,1
01-Nov-78,,1978,11,1
01-Dec-78,,1978,12,1
01-Jan-79,,1979,1,1
01-Feb-79,,1979,2,1
01-Mar-79,0.828,1979,3,1
01-Apr-79,0.771,1979,4,1
01-May-79,352,1979,5,1
01-Jun-79,431,1979,6,1
01-Jul-79,278,1979,7,1
01-Aug-79,151,1979,8,1
01-Sep-79,119,1979,9,1
01-Oct-79,92.8,1979,10,1
01-Nov-79,,1979,11,1
01-Dec-79,,1979,12,1
01-Jan-80,,1980,1,1
01-Feb-80,,1980,2,1
01-Mar-80,1.18,1980,3,1
01-Apr-80,29.4,1980,4,1
01-May-80,28.6,1980,5,1
01-Jun-80,21.6,1980,6,1
01-Jul-80,21,1980,7,1
01-Aug-80,23.4,1980,8,1
01-Sep-80,17.8,1980,9,1
01-Oct-80,29.2,1980,10,1
01-Nov-80,,1980,11,1
01-Dec-80,,1980,12,1
01-Jan-81,,1981,1,1
01-Feb-81,,1981,2,1
01-Mar-81,0.422,1981,3,1
01-Apr-81,13.8,1981,4,1
01-May-81,284,1981,5,1
01-Jun-81,86.4,1981,6,1
01-Jul-81,33.1,1981,7,1
01-Aug-81,8.52,1981,8,1
01-Sep-81,4.36,1981,9,1
01-Oct-81,3.37,1981,10,1
01-Nov-81,,1981,11,1
01-Dec-81,,1981,12,1
01-Jan-82,,1982,1,1
