Date,Streamflow,Year,Month,Day
01-Aug-71,0.675,1971,8,1
01-Sep-71,0.569,1971,9,1
01-Oct-71,0.672,1971,10,1
01-Nov-71,0.306,1971,11,1
01-Dec-71,0.092,1971,12,1
01-Jan-72,0.027,1972,1,1
01-Feb-72,0.009,1972,2,1
01-Mar-72,0.011,1972,3,1
01-Apr-72,2.66,1972,4,1
01-May-72,20.5,1972,5,1
01-Jun-72,1.64,1972,6,1
01-Jul-72,5.16,1972,7,1
01-Aug-72,0.653,1972,8,1
01-Sep-72,0.112,1972,9,1
01-Oct-72,0.514,1972,10,1
01-Nov-72,0.508,1972,11,1
01-Dec-72,0.087,1972,12,1
01-Jan-73,0.057,1973,1,1
01-Feb-73,0.012,1973,2,1
01-Mar-73,0.015,1973,3,1
01-Apr-73,6.95,1973,4,1
01-May-73,12.1,1973,5,1
01-Jun-73,7.41,1973,6,1
01-Jul-73,1.27,1973,7,1
01-Aug-73,5.11,1973,8,1
01-Sep-73,1.42,1973,9,1
01-Oct-73,0.667,1973,10,1
01-Nov-73,0.2,1973,11,1
01-Dec-73,0.1,1973,12,1
01-Jan-74,0.053,1974,1,1
01-Feb-74,0.039,1974,2,1
01-Mar-74,0.035,1974,3,1
01-Apr-74,12.4,1974,4,1
01-May-74,13.4,1974,5,1
01-Jun-74,3.76,1974,6,1
01-Jul-74,2.08,1974,7,1
01-Aug-74,1.03,1974,8,1
01-Sep-74,0.558,1974,9,1
01-Oct-74,0.536,1974,10,1
01-Nov-74,0.178,1974,11,1
01-Dec-74,0.035,1974,12,1
01-Jan-75,0.004,1975,1,1
01-Feb-75,0,1975,2,1
01-Mar-75,0,1975,3,1
01-Apr-75,2.89,1975,4,1
01-May-75,6.65,1975,5,1
01-Jun-75,3.9,1975,6,1
01-Jul-75,1.82,1975,7,1
01-Aug-75,0.834,1975,8,1
01-Sep-75,1.98,1975,9,1
01-Oct-75,0.29,1975,10,1
01-Nov-75,0.147,1975,11,1
01-Dec-75,0.081,1975,12,1
