Date,Streamflow,Precip,Year,Month,Day
1957-01-01,0.285,0,1957,1,1
1957-01-02,0.285,0.1,1957,1,2
1957-01-03,0.285,0,1957,1,3
1957-01-04,0.285,0,1957,1,4
1957-01-05,0.285,1.3,1957,1,5
1957-01-06,0.285,1.5,1957,1,6
1957-01-07,0.285,0,1957,1,7
1957-01-08,0.902,17.3,1957,1,8
1957-01-09,0.902,48,1957,1,9
1957-01-10,0.902,5.9,1957,1,10
1957-01-11,0.902,0.6,1957,1,11
1957-01-12,0.902,0.4,1957,1,12
1957-01-13,0.844,4.2,1957,1,13
1957-01-14,0.844,0,1957,1,14
1957-01-15,0.788,3.2,1957,1,15
1957-01-16,0.788,0.6,1957,1,16
1957-01-17,1.282,0.1,1957,1,17
1957-01-18,1.282,0.2,1957,1,18
1957-01-19,1.282,6.1,1957,1,19
1957-01-20,1.282,6.2,1957,1,20
1957-01-21,1.282,7.7,1957,1,21
1957-01-22,1.282,12.1,1957,1,22
1957-01-23,1.282,9.1,1957,1,23
1957-01-24,1.215,0.1,1957,1,24
1957-01-25,1.149,0,1957,1,25
1957-01-26,1.085,0.5,1957,1,26
1957-01-27,1.022,0.9,1957,1,27
1957-01-28,0.961,2.2,1957,1,28
1957-01-29,0.902,7,1957,1,29
1957-01-30,0.844,4.1,1957,1,30
1957-01-31,0.788,0,1957,1,31
1957-02-01,0.788,1.1,1957,2,1
1957-02-02,0.788,0.5,1957,2,2
1957-02-03,0.733,13,1957,2,3
1957-02-04,0.733,4.8,1957,2,4
1957-02-05,0.733,5,1957,2,5
1957-02-06,0.733,5.5,1957,2,6
1957-02-07,0.733,1.1,1957,2,7
1957-02-08,0.733,0.1,1957,2,8
1957-02-09,0.733,0.1,1957,2,9
1957-02-10,0.733,1.3,1957,2,10
1957-02-11,0.629,0.4,1957,2,11
1957-02-12,0.532,0,1957,2,12
1957-02-13,0.442,0.1,1957,2,13
1957-02-14,0.442,0.2,1957,2,14
1957-02-15,0.442,1.5,1957,2,15
1957-02-16,0.442,1,1957,2,16
1957-02-17,0.442,0.3,1957,2,17
1957-02-18,0.442,0,1957,2,18
1957-02-19,0.442,0,1957,2,19
1957-02-20,0.442,0,1957,2,20
1957-02-21,0.442,0,1957,2,21
1957-02-22,0.442,0,1957,2,22
1957-02-23,0.442,0,1957,2,23
1957-02-24,0.442,0,1957,2,24
1957-02-25,0.442,0,1957,2,25
1957-02-26,0.442,1,1957,2,26
1957-02-27,0.442,0.6,1957,2,27
1957-02-28,0.442,0,1957,2,28
1957-03-01,0.442,0,1957,3,1
1957-03-02,0.442,0,1957,3,2
1957-03-03,0.4,0,1957,3,3
1957-03-04,0.4,2.7,1957,3,4
1957-03-05,0.4,0,1957,3,5
