Date,Streamflow,Year,Month,Day
1959-01-01,,1959,1,1
1959-02-01,,1959,2,1
1959-03-01,8.5,1959,3,1
1959-04-01,9.9,1959,4,1
1959-05-01,216,1959,5,1
1959-06-01,232,1959,6,1
1959-07-01,62.9,1959,7,1
1959-08-01,29.1,1959,8,1
1959-09-01,32.6,1959,9,1
1959-10-01,61.3,1959,10,1
1959-11-01,36.6,1959,11,1
1959-12-01,15,1959,12,1
1960-01-01,11,1960,1,1
1960-02-01,9.3,1960,2,1
1960-03-01,8.1,1960,3,1
1960-04-01,11.7,1960,4,1
1960-05-01,188,1960,5,1
1960-06-01,282,1960,6,1
1960-07-01,72.6,1960,7,1
1960-08-01,60.5,1960,8,1
1960-09-01,86.3,1960,9,1
1960-10-01,69.9,1960,10,1
1960-11-01,43.2,1960,11,1
1960-12-01,23,1960,12,1
1961-01-01,13.6,1961,1,1
1961-02-01,10,1961,2,1
1961-03-01,9.6,1961,3,1
1961-04-01,41,1961,4,1
1961-05-01,229,1961,5,1
1961-06-01,140,1961,6,1
1961-07-01,49.2,1961,7,1
1961-08-01,29.2,1961,8,1
1961-09-01,34.8,1961,9,1
1961-10-01,21.2,1961,10,1
1961-11-01,18.2,1961,11,1
1961-12-01,11.6,1961,12,1
1962-01-01,11.2,1962,1,1
1962-02-01,10.7,1962,2,1
1962-03-01,9,1962,3,1
1962-04-01,27,1962,4,1
1962-05-01,220,1962,5,1
1962-06-01,83.3,1962,6,1
1962-07-01,72.3,1962,7,1
1962-08-01,49.1,1962,8,1
1962-09-01,111,1962,9,1
1962-10-01,77.5,1962,10,1
1962-11-01,61.6,1962,11,1
1962-12-01,20.1,1962,12,1
1963-01-01,14.7,1963,1,1
1963-02-01,13,1963,2,1
1963-03-01,11.7,1963,3,1
1963-04-01,11.2,1963,4,1
1963-05-01,213,1963,5,1
1963-06-01,162,1963,6,1
1963-07-01,28.1,1963,7,1
1963-08-01,12.3,1963,8,1
1963-09-01,10.3,1963,9,1
1963-10-01,11.1,1963,10,1
1963-11-01,12.2,1963,11,1
1963-12-01,10.9,1963,12,1
1964-01-01,10.1,1964,1,1
1964-02-01,9.3,1964,2,1
1964-03-01,7.6,1964,3,1
1964-04-01,7.1,1964,4,1
1964-05-01,137,1964,5,1
1964-06-01,150,1964,6,1
1964-07-01,27.5,1964,7,1
1964-08-01,15,1964,8,1
1964-09-01,11.9,1964,9,1
1964-10-01,11.2,1964,10,1
1964-11-01,9.9,1964,11,1
1964-12-01,11,1964,12,1
1965-01-01,10.2,1965,1,1
1965-02-01,9.2,1965,2,1
1965-03-01,8.2,1965,3,1
1965-04-01,8.7,1965,4,1
1965-05-01,176,1965,5,1
1965-06-01,169,1965,6,1
1965-07-01,41.9,1965,7,1
1965-08-01,73.3,1965,8,1
1965-09-01,144,1965,9,1
1965-10-01,124,1965,10,1
1965-11-01,44,1965,11,1
1965-12-01,15.1,1965,12,1
1966-01-01,11.9,1966,1,1
1966-02-01,7.4,1966,2,1
1966-03-01,8.2,1966,3,1
1966-04-01,9.5,1966,4,1
1966-05-01,199,1966,5,1
1966-06-01,207,1966,6,1
1966-07-01,68.7,1966,7,1
1966-08-01,20.8,1966,8,1
1966-09-01,18.5,1966,9,1
1966-10-01,15.6,1966,10,1
1966-11-01,14.5,1966,11,1
1966-12-01,13.5,1966,12,1
1967-01-01,10.1,1967,1,1
1967-02-01,8.9,1967,2,1
1967-03-01,8.9,1967,3,1
1967-04-01,39.5,1967,4,1
1967-05-01,124,1967,5,1
1967-06-01,41.2,1967,6,1
1967-07-01,25.4,1967,7,1
1967-08-01,38.2,1967,8,1
1967-09-01,15.8,1967,9,1
1967-10-01,41.5,1967,10,1
1967-11-01,58.2,1967,11,1
1967-12-01,15.5,1967,12,1
1968-01-01,10.6,1968,1,1
1968-02-01,9.7,1968,2,1
1968-03-01,8.8,1968,3,1
1968-04-01,24.2,1968,4,1
1968-05-01,178,1968,5,1
1968-06-01,177,1968,6,1
1968-07-01,108,1968,7,1
1968-08-01,18.1,1968,8,1
1968-09-01,15.7,1968,9,1
1968-10-01,14.4,1968,10,1
1968-11-01,11.3,1968,11,1
1968-12-01,8.3,1968,12,1
1969-01-01,7.5,1969,1,1
1969-02-01,7.2,1969,2,1
1969-03-01,7.3,1969,3,1
1969-04-01,8.2,1969,4,1
1969-05-01,96.7,1969,5,1
1969-06-01,273,1969,6,1
1969-07-01,133,1969,7,1
1969-08-01,29.7,1969,8,1
1969-09-01,26.6,1969,9,1
1969-10-01,28.8,1969,10,1
1969-11-01,25.3,1969,11,1
1969-12-01,17.8,1969,12,1
1970-01-01,11,1970,1,1
1970-02-01,9.4,1970,2,1
1970-03-01,8.9,1970,3,1
1970-04-01,10.5,1970,4,1
1970-05-01,118,1970,5,1
1970-06-01,308,1970,6,1
1970-07-01,192,1970,7,1
1970-08-01,79,1970,8,1
1970-09-01,72.5,1970,9,1
1970-10-01,27.5,1970,10,1
1970-11-01,30.5,1970,11,1
1970-12-01,23.7,1970,12,1
1971-01-01,16.4,1971,1,1
1971-02-01,13.2,1971,2,1
1971-03-01,10.6,1971,3,1
1971-04-01,11.7,1971,4,1
1971-05-01,239,1971,5,1
1971-06-01,277,1971,6,1
1971-07-01,61.2,1971,7,1
1971-08-01,37,1971,8,1
1971-09-01,37.1,1971,9,1
1971-10-01,43.5,1971,10,1
1971-11-01,46.3,1971,11,1
1971-12-01,32,1971,12,1
1972-01-01,17.3,1972,1,1
1972-02-01,9.8,1972,2,1
1972-03-01,9,1972,3,1
1972-04-01,15,1972,4,1
1972-05-01,197,1972,5,1
1972-06-01,171,1972,6,1
1972-07-01,187,1972,7,1
1972-08-01,33.1,1972,8,1
1972-09-01,30.7,1972,9,1
1972-10-01,35,1972,10,1
1972-11-01,24.2,1972,11,1
1972-12-01,14.6,1972,12,1
1973-01-01,10.1,1973,1,1
1973-02-01,8.5,1973,2,1
1973-03-01,8.3,1973,3,1
1973-04-01,38.7,1973,4,1
1973-05-01,221,1973,5,1
1973-06-01,116,1973,6,1
1973-07-01,61.8,1973,7,1
1973-08-01,69,1973,8,1
1973-09-01,38,1973,9,1
1973-10-01,66.4,1973,10,1
1973-11-01,30.5,1973,11,1
1973-12-01,14.9,1973,12,1
1974-01-01,9.9,1974,1,1
1974-02-01,10.1,1974,2,1
1974-03-01,10.2,1974,3,1
1974-04-01,33,1974,4,1
1974-05-01,275,1974,5,1
1974-06-01,153,1974,6,1
1974-07-01,31.7,1974,7,1
1974-08-01,22.6,1974,8,1
1974-09-01,64.3,1974,9,1
1974-10-01,44.8,1974,10,1
1974-11-01,23.7,1974,11,1
1974-12-01,14.9,1974,12,1
1975-01-01,11.1,1975,1,1
1975-02-01,10.7,1975,2,1
1975-03-01,10.2,1975,3,1
1975-04-01,20.2,1975,4,1
1975-05-01,237,1975,5,1
1975-06-01,231,1975,6,1
1975-07-01,86.9,1975,7,1
1975-08-01,119,1975,8,1
1975-09-01,152,1975,9,1
1975-10-01,87.4,1975,10,1
1975-11-01,45.6,1975,11,1
1975-12-01,27.9,1975,12,1
1976-01-01,17.5,1976,1,1
1976-02-01,13.1,1976,2,1
1976-03-01,11.5,1976,3,1
1976-04-01,18.6,1976,4,1
1976-05-01,240,1976,5,1
1976-06-01,86,1976,6,1
1976-07-01,61.6,1976,7,1
1976-08-01,46.2,1976,8,1
1976-09-01,18.4,1976,9,1
1976-10-01,19.2,1976,10,1
1976-11-01,12.6,1976,11,1
1976-12-01,11.4,1976,12,1
1977-01-01,10.5,1977,1,1
1977-02-01,8.5,1977,2,1
1977-03-01,7.3,1977,3,1
1977-04-01,35.2,1977,4,1
1977-05-01,195,1977,5,1
1977-06-01,39.3,1977,6,1
1977-07-01,26.4,1977,7,1
1977-08-01,17.1,1977,8,1
1977-09-01,16.2,1977,9,1
1977-10-01,23.5,1977,10,1
