Date,Streamflow,Year,Month,Day
1969-01-01,27.2,1969,1,1
1969-02-01,23.4,1969,2,1
1969-03-01,20.9,1969,3,1
1969-04-01,23.1,1969,4,1
1969-05-01,145,1969,5,1
1969-06-01,292,1969,6,1
1969-07-01,124,1969,7,1
1969-08-01,79,1969,8,1
1969-09-01,121,1969,9,1
1969-10-01,79.2,1969,10,1
1969-11-01,56.4,1969,11,1
1969-12-01,39.4,1969,12,1
1970-01-01,30.4,1970,1,1
1970-02-01,26,1970,2,1
1970-03-01,25.8,1970,3,1
1970-04-01,30,1970,4,1
1970-05-01,98.5,1970,5,1
1970-06-01,182,1970,6,1
1970-07-01,108,1970,7,1
1970-08-01,68.9,1970,8,1
1970-09-01,81.1,1970,9,1
1970-10-01,53.6,1970,10,1
1970-11-01,48.1,1970,11,1
1970-12-01,39.7,1970,12,1
1971-01-01,33.4,1971,1,1
1971-02-01,29,1971,2,1
1971-03-01,27.3,1971,3,1
1971-04-01,28.5,1971,4,1
1971-05-01,280,1971,5,1
1971-06-01,251,1971,6,1
1971-07-01,165,1971,7,1
1971-08-01,205,1971,8,1
1971-09-01,126,1971,9,1
1971-10-01,156,1971,10,1
1971-11-01,100,1971,11,1
1971-12-01,66.8,1971,12,1
1972-01-01,42.3,1972,1,1
1972-02-01,33.3,1972,2,1
1972-03-01,34.7,1972,3,1
1972-04-01,48.4,1972,4,1
1972-05-01,170,1972,5,1
1972-06-01,180,1972,6,1
1972-07-01,77.7,1972,7,1
1972-08-01,97.8,1972,8,1
1972-09-01,87.5,1972,9,1
1972-10-01,118,1972,10,1
1972-11-01,54.4,1972,11,1
1972-12-01,54.9,1972,12,1
1973-01-01,44,1973,1,1
1973-02-01,36.2,1973,2,1
1973-03-01,35.5,1973,3,1
1973-04-01,153,1973,4,1
1973-05-01,277,1973,5,1
1973-06-01,102,1973,6,1
1973-07-01,121,1973,7,1
1973-08-01,119,1973,8,1
1973-09-01,199,1973,9,1
1973-10-01,199,1973,10,1
1973-11-01,108,1973,11,1
1973-12-01,61.9,1973,12,1
1974-01-01,48.7,1974,1,1
1974-02-01,38.9,1974,2,1
1974-03-01,39.6,1974,3,1
1974-04-01,48.5,1974,4,1
1974-05-01,434,1974,5,1
1974-06-01,160,1974,6,1
1974-07-01,65.2,1974,7,1
1974-08-01,48.6,1974,8,1
1974-09-01,66.9,1974,9,1
1974-10-01,50.4,1974,10,1
1974-11-01,42.8,1974,11,1
1974-12-01,37.5,1974,12,1
1975-01-01,35.8,1975,1,1
1975-02-01,32.6,1975,2,1
1975-03-01,30.6,1975,3,1
1975-04-01,55.7,1975,4,1
1975-05-01,241,1975,5,1
1975-06-01,174,1975,6,1
1975-07-01,73.4,1975,7,1
1975-08-01,85.3,1975,8,1
1975-09-01,76.6,1975,9,1
1975-10-01,88.2,1975,10,1
