Date,Streamflow,Precip,Year,Month,Day
21/04/1954,2,0,1954,4,21
22/04/1954,3.37,0,1954,4,22
23/04/1954,5.21,0,1954,4,23
24/04/1954,7.22,0,1954,4,24
25/04/1954,9.54,5.8,1954,4,25
26/04/1954,12.2,3,1954,4,26
27/04/1954,15.4,4.3,1954,4,27
28/04/1954,18.8,2,1954,4,28
29/04/1954,22.7,0,1954,4,29
30/04/1954,27.2,0,1954,4,30
01/05/1954,32.8,0,1954,5,1
02/05/1954,38.8,0,1954,5,2
03/05/1954,40.2,0,1954,5,3
04/05/1954,53,0,1954,5,4
05/05/1954,70.5,0,1954,5,5
06/05/1954,62.6,0,1954,5,6
07/05/1954,54.9,0,1954,5,7
08/05/1954,47,0,1954,5,8
09/05/1954,47.6,0,1954,5,9
10/05/1954,47.9,0,1954,5,10
11/05/1954,47.9,0,1954,5,11
12/05/1954,47.3,1.5,1954,5,12
13/05/1954,48.7,0,1954,5,13
14/05/1954,51,0.3,1954,5,14
15/05/1954,51.3,0.3,1954,5,15
16/05/1954,51,0,1954,5,16
17/05/1954,50.1,0,1954,5,17
18/05/1954,48.7,0,1954,5,18
19/05/1954,49,0,1954,5,19
20/05/1954,47.6,0,1954,5,20
21/05/1954,46.4,0,1954,5,21
22/05/1954,44.2,32.3,1954,5,22
23/05/1954,48.4,7.4,1954,5,23
24/05/1954,58.9,0,1954,5,24
25/05/1954,65.4,0,1954,5,25
26/05/1954,67.1,0,1954,5,26
27/05/1954,66.8,0,1954,5,27
28/05/1954,66.5,0,1954,5,28
29/05/1954,64.3,0,1954,5,29
30/05/1954,62.3,3.8,1954,5,30
31/05/1954,61.2,8.4,1954,5,31
01/06/1954,60.6,0,1954,6,1
02/06/1954,60.3,0,1954,6,2
03/06/1954,61.4,0,1954,6,3
04/06/1954,59.5,0,1954,6,4
05/06/1954,57.8,0,1954,6,5
06/06/1954,57.5,0.8,1954,6,6
07/06/1954,58.6,39.1,1954,6,7
08/06/1954,60.9,0,1954,6,8
09/06/1954,71.4,0,1954,6,9
10/06/1954,75.3,0,1954,6,10
11/06/1954,76.5,14.7,1954,6,11
12/06/1954,77.3,0,1954,6,12
13/06/1954,77.3,0,1954,6,13
14/06/1954,78.4,21.8,1954,6,14
15/06/1954,77.3,0,1954,6,15
16/06/1954,78.7,16.5,1954,6,16
17/06/1954,81.3,0,1954,6,17
18/06/1954,81.6,0,1954,6,18
19/06/1954,81.3,0,1954,6,19
20/06/1954,81,0.3,1954,6,20
21/06/1954,80.4,4.6,1954,6,21
22/06/1954,79.9,0,1954,6,22
23/06/1954,81.6,0.3,1954,6,23
24/06/1954,78.2,0,1954,6,24
25/06/1954,76.5,6.4,1954,6,25
26/06/1954,74.5,0,1954,6,26
27/06/1954,72.8,1.3,1954,6,27
28/06/1954,70.8,0.3,1954,6,28
29/06/1954,68.5,1.3,1954,6,29
30/06/1954,66.8,0,1954,6,30
01/07/1954,64.3,0,1954,7,1
02/07/1954,62.3,0,1954,7,2
03/07/1954,60.3,0,1954,7,3
04/07/1954,58.3,0,1954,7,4
05/07/1954,56.4,7.9,1954,7,5
06/07/1954,54.4,0.3,1954,7,6
07/07/1954,51.3,0,1954,7,7
08/07/1954,48.1,0,1954,7,8
09/07/1954,44.7,14.2,1954,7,9
10/07/1954,39.9,4.3,1954,7,10
11/07/1954,34.8,0,1954,7,11
12/07/1954,32.3,0,1954,7,12
13/07/1954,28.9,2,1954,7,13
14/07/1954,29.7,0,1954,7,14
15/07/1954,29.4,12.2,1954,7,15
16/07/1954,28.9,0,1954,7,16
17/07/1954,28.6,0.5,1954,7,17
18/07/1954,29.7,0.8,1954,7,18
19/07/1954,28.9,0,1954,7,19
20/07/1954,30.3,0,1954,7,20
21/07/1954,30,4.6,1954,7,21
22/07/1954,25.7,1.8,1954,7,22
23/07/1954,28.2,0.5,1954,7,23
24/07/1954,25.3,0,1954,7,24
25/07/1954,24.3,0,1954,7,25
26/07/1954,23.6,0,1954,7,26
27/07/1954,22.9,61.7,1954,7,27
28/07/1954,22.9,17.8,1954,7,28
29/07/1954,25.9,0,1954,7,29
30/07/1954,30.6,0,1954,7,30
31/07/1954,29.2,0,1954,7,31
01/08/1954,26.5,0,1954,8,1
02/08/1954,25.7,4.1,1954,8,2
03/08/1954,24.9,0.8,1954,8,3
04/08/1954,25.6,0,1954,8,4
05/08/1954,24,0,1954,8,5
06/08/1954,24,0.8,1954,8,6
07/08/1954,24,0,1954,8,7
08/08/1954,23.6,1.8,1954,8,8
09/08/1954,22.4,0,1954,8,9
10/08/1954,22.4,0,1954,8,10
11/08/1954,22.4,0,1954,8,11
12/08/1954,21,0,1954,8,12
13/08/1954,20.2,8.4,1954,8,13
14/08/1954,21.3,1.5,1954,8,14
15/08/1954,22.3,0,1954,8,15
16/08/1954,26.1,4.3,1954,8,16
17/08/1954,24.9,8.4,1954,8,17
18/08/1954,23.3,0.5,1954,8,18
19/08/1954,23.6,0,1954,8,19
20/08/1954,25.6,0,1954,8,20
21/08/1954,28.9,0,1954,8,21
22/08/1954,23.3,5.6,1954,8,22
23/08/1954,23.1,0,1954,8,23
24/08/1954,22,2,1954,8,24
25/08/1954,22.7,0,1954,8,25
26/08/1954,21.9,14.2,1954,8,26
27/08/1954,25.9,26.7,1954,8,27
28/08/1954,26.1,0.3,1954,8,28
