Date ,Streamflow,Year,Month,Day
1954-01-01,35.1,1954,1,1
1954-02-01,32.7,1954,2,1
1954-03-01,28.3,1954,3,1
1954-04-01,36.6,1954,4,1
1954-05-01,285,1954,5,1
1954-06-01,183,1954,6,1
1954-07-01,93.1,1954,7,1
1954-08-01,86.1,1954,8,1
1954-09-01,117,1954,9,1
1954-10-01,117,1954,10,1
1954-11-01,69.3,1954,11,1
1954-12-01,44.9,1954,12,1
1955-01-01,36,1955,1,1
1955-02-01,34.3,1955,2,1
1955-03-01,29.6,1955,3,1
1955-04-01,56.8,1955,4,1
1955-05-01,371,1955,5,1
1955-06-01,215,1955,6,1
1955-07-01,137,1955,7,1
1955-08-01,78.1,1955,8,1
1955-09-01,75,1955,9,1
1955-10-01,76.2,1955,10,1
1955-11-01,63.6,1955,11,1
1955-12-01,37.8,1955,12,1
1956-01-01,28.8,1956,1,1
1956-02-01,24.4,1956,2,1
1956-03-01,23.7,1956,3,1
1956-04-01,24.2,1956,4,1
1956-05-01,267,1956,5,1
1956-06-01,245,1956,6,1
1956-07-01,148,1956,7,1
1956-08-01,169,1956,8,1
1956-09-01,145,1956,9,1
1956-10-01,148,1956,10,1
1956-11-01,60.3,1956,11,1
1956-12-01,42.2,1956,12,1
1957-01-01,37.3,1957,1,1
1957-02-01,32.9,1957,2,1
1957-03-01,30.7,1957,3,1
1957-04-01,29,1957,4,1
1957-05-01,493,1957,5,1
1957-06-01,337,1957,6,1
1957-07-01,185,1957,7,1
1957-08-01,95.5,1957,8,1
1957-09-01,109,1957,9,1
1957-10-01,146,1957,10,1
1957-11-01,59.6,1957,11,1
1957-12-01,35.7,1957,12,1
1958-01-01,31.6,1958,1,1
1958-02-01,29.6,1958,2,1
1958-03-01,23.6,1958,3,1
1958-04-01,25.6,1958,4,1
1958-05-01,108,1958,5,1
1958-06-01,672,1958,6,1
1958-07-01,235,1958,7,1
1958-08-01,159,1958,8,1
1958-09-01,132,1958,9,1
1958-10-01,148,1958,10,1
1958-11-01,83.9,1958,11,1
1958-12-01,51.8,1958,12,1
1959-01-01,42.8,1959,1,1
1959-02-01,37.2,1959,2,1
1959-03-01,33,1959,3,1
1959-04-01,32.4,1959,4,1
1959-05-01,347,1959,5,1
1959-06-01,640,1959,6,1
1959-07-01,109,1959,7,1
1959-08-01,83.7,1959,8,1
1959-09-01,114,1959,9,1
1959-10-01,73.4,1959,10,1
1959-11-01,34.7,1959,11,1
1959-12-01,69.9,1959,12,1
1960-01-01,66.7,1960,1,1
1960-02-01,51.6,1960,2,1
1960-03-01,31,1960,3,1
1960-04-01,35,1960,4,1
1960-05-01,176,1960,5,1
1960-06-01,446,1960,6,1
1960-07-01,101,1960,7,1
1960-08-01,66.2,1960,8,1
1960-09-01,76.7,1960,9,1
1960-10-01,72.6,1960,10,1
1960-11-01,466,1960,11,1
1960-12-01,36.5,1960,12,1
1961-01-01,30.8,1961,1,1
1961-02-01,29.4,1961,2,1
1961-03-01,31,1961,3,1
1961-04-01,34.7,1961,4,1
1961-05-01,173,1961,5,1
1961-06-01,574,1961,6,1
1961-07-01,227,1961,7,1
1961-08-01,75.1,1961,8,1
1961-09-01,65.6,1961,9,1
1961-10-01,48.7,1961,10,1
1961-11-01,53.2,1961,11,1
1961-12-01,40.5,1961,12,1
1962-01-01,34.3,1962,1,1
1962-02-01,31.7,1962,2,1
1962-03-01,32.6,1962,3,1
1962-04-01,37.7,1962,4,1
