Date,Streamflow,Precip,Year,Month,Day
29/05/1975,112,0.5,1975,5,29
30/05/1975,113,1.5,1975,5,30
31/05/1975,114,0,1975,5,31
01/06/1975,120,0,1975,6,1
02/06/1975,132,3.8,1975,6,2
03/06/1975,142,1,1975,6,3
04/06/1975,142,0,1975,6,4
05/06/1975,135,0,1975,6,5
06/06/1975,128,1,1975,6,6
07/06/1975,122,2,1975,6,7
08/06/1975,118,0,1975,6,8
09/06/1975,111,0,1975,6,9
10/06/1975,102,0,1975,6,10
11/06/1975,95.1,0,1975,6,11
12/06/1975,86.6,0,1975,6,12
13/06/1975,80.7,0,1975,6,13
14/06/1975,78.2,2.5,1975,6,14
15/06/1975,76.7,5.8,1975,6,15
16/06/1975,80.7,1,1975,6,16
17/06/1975,85.5,0,1975,6,17
18/06/1975,90.9,2.5,1975,6,18
19/06/1975,98,0,1975,6,19
20/06/1975,106,0,1975,6,20
21/06/1975,115,0,1975,6,21
22/06/1975,111,25.1,1975,6,22
23/06/1975,103,6.9,1975,6,23
24/06/1975,97.4,0.3,1975,6,24
25/06/1975,97.4,0.3,1975,6,25
26/06/1975,95.4,0,1975,6,26
27/06/1975,87.8,4.1,1975,6,27
28/06/1975,90.3,0,1975,6,28
29/06/1975,96.3,0,1975,6,29
30/06/1975,94,0,1975,6,30
01/07/1975,88.6,4.1,1975,7,1
02/07/1975,81.3,0,1975,7,2
03/07/1975,74.2,0,1975,7,3
04/07/1975,67.7,0,1975,7,4
05/07/1975,63.4,0,1975,7,5
06/07/1975,59.5,10.9,1975,7,6
07/07/1975,54.4,0,1975,7,7
08/07/1975,51.8,3.6,1975,7,8
09/07/1975,50.7,5.8,1975,7,9
10/07/1975,50.1,0,1975,7,10
11/07/1975,49,2.3,1975,7,11
12/07/1975,47.3,0,1975,7,12
13/07/1975,43.9,0,1975,7,13
14/07/1975,39.9,7.6,1975,7,14
15/07/1975,37.4,0.3,1975,7,15
16/07/1975,35.7,0,1975,7,16
17/07/1975,34.8,16.8,1975,7,17
18/07/1975,37.7,0,1975,7,18
19/07/1975,49.6,1,1975,7,19
20/07/1975,57.8,0,1975,7,20
21/07/1975,60.9,0,1975,7,21
22/07/1975,58.9,13.7,1975,7,22
23/07/1975,52.7,1.3,1975,7,23
24/07/1975,47.9,53.6,1975,7,24
25/07/1975,48.1,15.5,1975,7,25
26/07/1975,52.7,2.8,1975,7,26
27/07/1975,67.7,5.6,1975,7,27
28/07/1975,92.6,2,1975,7,28
29/07/1975,130,0,1975,7,29
30/07/1975,148,0,1975,7,30
31/07/1975,145,0,1975,7,31
01/08/1975,131,0,1975,8,1
02/08/1975,113,0.8,1975,8,2
03/08/1975,99.4,2.3,1975,8,3
04/08/1975,96,2,1975,8,4
05/08/1975,115,0,1975,8,5
06/08/1975,155,0,1975,8,6
07/08/1975,177,0,1975,8,7
