Date,Year,Month,Streamflow,Precipitation,,,,,,,,
01/01/1966,1966,1,22.8,48.5,,,,,,,,
01/02/1966,1966,2,17.1,39.9,,,,,,,,
01/03/1966,1966,3,17.2,29.2,,,,,,,,
01/04/1966,1966,4,19.3,47.3,,,,,,,,
01/05/1966,1966,5,380.0,7.1,,,,,,,,
01/06/1966,1966,6,387.0,126.0,,,,,,,,
01/07/1966,1966,7,181.0,55.6,,,,,,,,
01/08/1966,1966,8,47.6,67.1,,,,,,,,
01/09/1966,1966,9,37.4,37.2,,,,,,,,
01/10/1966,1966,10,29.4,86.3,,,,,,,,
01/11/1966,1966,11,31.1,46.8,,,,,,,,
01/12/1966,1966,12,25.6,8.2,,,,,,,,
01/01/1967,1967,1,19.8,25.1,,,,,,,,
01/02/1967,1967,2,18.8,12.2,,,,,,,,
01/03/1967,1967,3,14.3,12.7,,,,,,,,
01/04/1967,1967,4,66.8,18.0,,,,,,,,
01/05/1967,1967,5,232.0,26.6,,,,,,,,
01/06/1967,1967,6,79.8,78.1,,,,,,,,
01/07/1967,1967,7,53.6,116.9,,,,,,,,
01/08/1967,1967,8,62.6,46.2,,,,,,,,
01/09/1967,1967,9,32.2,50.8,,,,,,,,
01/10/1967,1967,10,59.9,75.6,,,,,,,,
01/11/1967,1967,11,85.7,29.4,,,,,,,,
01/12/1967,1967,12,25.8,22.8,,,,,,,,
01/01/1968,1968,1,18.7,41.0,,,,,,,,
01/02/1968,1968,2,17.0,31.7,,,,,,,,
01/03/1968,1968,3,16.2,25.5,,,,,,,,
01/04/1968,1968,4,41.8,24.7,,,,,,,,
01/05/1968,1968,5,365.0,64.3,,,,,,,,
01/06/1968,1968,6,326.0,75.6,,,,,,,,
01/07/1968,1968,7,141.0,66.6,,,,,,,,
01/08/1968,1968,8,93.1,26.7,,,,,,,,
01/09/1968,1968,9,91.4,87.5,,,,,,,,
01/10/1968,1968,10,92.1,45.8,,,,,,,,
01/11/1968,1968,11,68.5,52.9,,,,,,,,
01/12/1968,1968,12,37.5,29.2,,,,,,,,
01/01/1969,1969,1,24.9,11.3,,,,,,,,
01/02/1969,1969,2,20.0,10.6,,,,,,,,
01/03/1969,1969,3,17.4,26.1,,,,,,,,
01/04/1969,1969,4,141.0,40.3,,,,,,,,
01/05/1969,1969,5,232.0,76.2,,,,,,,,
01/06/1969,1969,6,537.0,81.8,,,,,,,,
01/07/1969,1969,7,334.0,33.6,,,,,,,,
01/08/1969,1969,8,103.0,61.7,,,,,,,,
01/09/1969,1969,9,75.1,58.1,,,,,,,,
01/10/1969,1969,10,82.4,41.6,,,,,,,,
01/11/1969,1969,11,67.2,91.2,,,,,,,,
01/12/1969,1969,12,52.6,9.6,,,,,,,,
01/01/1970,1970,1,40.2,34.3,,,,,,,,
01/02/1970,1970,2,28.0,35.6,,,,,,,,
01/03/1970,1970,3,17.5,13.4,,,,,,,,
01/04/1970,1970,4,20.6,45.3,,,,,,,,
01/05/1970,1970,5,316.0,27.3,,,,,,,,
01/06/1970,1970,6,594.0,110.7,,,,,,,,
01/07/1970,1970,7,425.0,89.5,,,,,,,,
01/08/1970,1970,8,199.0,83.4,,,,,,,,
01/09/1970,1970,9,180.0,12.7,,,,,,,,
01/10/1970,1970,10,73.0,42.2,,,,,,,,
01/11/1970,1970,11,72.4,148.7,,,,,,,,
01/12/1970,1970,12,61.2,49.0,,,,,,,,
01/01/1971,1971,1,45.4,39.4,,,,,,,,
01/02/1971,1971,2,31.9,3.6,,,,,,,,
01/03/1971,1971,3,20.0,36.6,,,,,,,,
01/04/1971,1971,4,22.4,48.8,,,,,,,,
01/05/1971,1971,5,552.0,61.2,,,,,,,,
01/06/1971,1971,6,503.0,75.6,,,,,,,,
01/07/1971,1971,7,143.0,27.2,,,,,,,,
01/08/1971,1971,8,66.9,110.3,,,,,,,,
01/09/1971,1971,9,63.1,42.3,,,,,,,,
01/10/1971,1971,10,58.7,52.3,,,,,,,,
01/11/1971,1971,11,58.8,52.4,,,,,,,,
01/12/1971,1971,12,37.6,26.4,,,,,,,,
01/01/1972,1972,1,23.7,23.6,,,,,,,,
01/02/1972,1972,2,15.2,39.4,,,,,,,,
01/03/1972,1972,3,13.9,15.9,,,,,,,,
01/04/1972,1972,4,23.0,28.2,,,,,,,,
01/05/1972,1972,5,397.0,45.0,,,,,,,,
01/06/1972,1972,6,273.0,130.7,,,,,,,,
01/07/1972,1972,7,243.0,45.3,,,,,,,,
01/08/1972,1972,8,78.7,80.4,,,,,,,,
01/09/1972,1972,9,63.3,54.8,,,,,,,,
01/10/1972,1972,10,74.8,49.3,,,,,,,,
01/11/1972,1972,11,50.1,54.0,,,,,,,,
01/12/1972,1972,12,32.9,53.0,,,,,,,,
01/01/1973,1973,1,23.7,24.4,,,,,,,,
01/02/1973,1973,2,19.7,23.0,,,,,,,,
01/03/1973,1973,3,16.8,33.0,,,,,,,,
01/04/1973,1973,4,115.0,17.0,,,,,,,,
01/05/1973,1973,5,495.0,47.1,,,,,,,,
01/06/1973,1973,6,187.0,35.1,,,,,,,,
01/07/1973,1973,7,107.0,187.7,,,,,,,,
01/08/1973,1973,8,145.0,69.6,,,,,,,,
01/09/1973,1973,9,87.7,112.0,,,,,,,,
01/10/1973,1973,10,149.0,33.0,,,,,,,,
01/11/1973,1973,11,65.5,56.1,,,,,,,,
01/12/1973,1973,12,57.3,47.9,,,,,,,,
01/01/1974,1974,1,34.7,15.3,,,,,,,,
01/02/1974,1974,2,23.1,17.0,,,,,,,,
01/03/1974,1974,3,18.3,42.5,,,,,,,,
01/04/1974,1974,4,84.3,45.4,,,,,,,,
01/05/1974,1974,5,598.0,60.6,,,,,,,,
01/06/1974,1974,6,290.0,47.9,,,,,,,,
01/07/1974,1974,7,72.1,72.1,,,,,,,,
01/08/1974,1974,8,45.6,68.5,,,,,,,,
01/09/1974,1974,9,156.0,37.1,,,,,,,,
01/10/1974,1974,10,93.5,53.0,,,,,,,,
01/11/1974,1974,11,60.0,45.3,,,,,,,,
01/12/1974,1974,12,28.4,23.6,,,,,,,,
01/01/1975,1975,1,21.0,51.4,,,,,,,,
01/02/1975,1975,2,18.4,47.6,,,,,,,,
01/03/1975,1975,3,17.8,34.8,,,,,,,,
01/04/1975,1975,4,56.1,37.7,,,,,,,,
01/05/1975,1975,5,524.0,45.1,,,,,,,,
01/06/1975,1975,6,440.0,79.8,,,,,,,,
01/07/1975,1975,7,152.0,129.0,,,,,,,,
01/08/1975,1975,8,205.0,168.3,,,,,,,,
01/09/1975,1975,9,232.0,38.8,,,,,,,,
01/10/1975,1975,10,162.0,43.1,,,,,,,,
01/11/1975,1975,11,85.9,74.7,,,,,,,,
01/12/1975,1975,12,45.1,33.6,,,,,,,,
01/01/1976,1976,1,28.6,18.9,,,,,,,,
01/02/1976,1976,2,24.2,12.4,,,,,,,,
01/03/1976,1976,3,20.3,18.6,,,,,,,,
01/04/1976,1976,4,32.2,34.6,,,,,,,,
01/05/1976,1976,5,542.0,126.4,,,,,,,,
01/06/1976,1976,6,254.0,98.4,,,,,,,,
01/07/1976,1976,7,153.0,47.1,,,,,,,,
01/08/1976,1976,8,293.0,51.8,,,,,,,,
01/09/1976,1976,9,60.6,49.7,,,,,,,,
01/10/1976,1976,10,62.7,17.5,,,,,,,,
01/11/1976,1976,11,42.2,23.4,,,,,,,,
01/12/1976,1976,12,30.9,33.6,,,,,,,,
01/01/1977,1977,1,20.8,26.9,,,,,,,,
