Date,Streamflow,Precip,Year,Month,Day
1995-01-01,0.002,0,1995,1,1
1995-01-02,0.002,0,1995,1,2
1995-01-03,0.002,0,1995,1,3
1995-01-04,0.002,0,1995,1,4
1995-01-05,0.002,0,1995,1,5
1995-01-06,0.002,0.8,1995,1,6
1995-01-07,0.002,0,1995,1,7
1995-01-08,0.002,0,1995,1,8
1995-01-09,0.002,0.2,1995,1,9
1995-01-10,0.002,2.8,1995,1,10
1995-01-11,0.002,0,1995,1,11
1995-01-12,0.002,0,1995,1,12
1995-01-13,0.002,0,1995,1,13
1995-01-14,0.002,0.6,1995,1,14
1995-01-15,0.002,0,1995,1,15
1995-01-16,0.002,0.5,1995,1,16
1995-01-17,0.002,0,1995,1,17
1995-01-18,0.003,0.2,1995,1,18
1995-01-19,0.003,0,1995,1,19
1995-01-20,0.003,0,1995,1,20
1995-01-21,0.002,0,1995,1,21
1995-01-22,0.002,0,1995,1,22
1995-01-23,0.002,0,1995,1,23
1995-01-24,0.002,0,1995,1,24
1995-01-25,0.002,0,1995,1,25
1995-01-26,0.002,0,1995,1,26
1995-01-27,0.002,0,1995,1,27
1995-01-28,0.002,0,1995,1,28
1995-01-29,0.002,0,1995,1,29
1995-01-30,0.002,0,1995,1,30
1995-01-31,0.002,1.2,1995,1,31
1995-02-01,0.001,0.2,1995,2,1
1995-02-02,0.001,0,1995,2,2
1995-02-03,0.001,0.2,1995,2,3
1995-02-04,0.001,0,1995,2,4
1995-02-05,0.001,0,1995,2,5
1995-02-06,0.001,0,1995,2,6
1995-02-07,0.001,0,1995,2,7
1995-02-08,0.001,11.4,1995,2,8
1995-02-09,0.001,0,1995,2,9
1995-02-10,0.001,0,1995,2,10
1995-02-11,0.001,0,1995,2,11
1995-02-12,0.001,0,1995,2,12
1995-02-13,0.001,0,1995,2,13
1995-02-14,0.001,0,1995,2,14
1995-02-15,0.001,0,1995,2,15
1995-02-16,0.001,0,1995,2,16
1995-02-17,0.001,0,1995,2,17
1995-02-18,0.001,0.2,1995,2,18
1995-02-19,0.001,1.8,1995,2,19
1995-02-20,0.001,2.8,1995,2,20
1995-02-21,0.001,0,1995,2,21
1995-02-22,0.001,0,1995,2,22
1995-02-23,0.001,0,1995,2,23
1995-02-24,0.001,4.9,1995,2,24
1995-02-25,0.001,1,1995,2,25
1995-02-26,0.001,0,1995,2,26
1995-02-27,0.001,0,1995,2,27
1995-02-28,0.001,0,1995,2,28
1995-03-01,0.001,0,1995,3,1
1995-03-02,0.001,0,1995,3,2
1995-03-03,0.001,0,1995,3,3
1995-03-04,0.001,0,1995,3,4
1995-03-05,0.001,0.2,1995,3,5
1995-03-06,0.001,0,1995,3,6
1995-03-07,0.001,0,1995,3,7
1995-03-08,0.001,0,1995,3,8
1995-03-09,0.001,1,1995,3,9
1995-03-10,0.001,1.8,1995,3,10
1995-03-11,0,3.6,1995,3,11
1995-03-12,0,0.4,1995,3,12
1995-03-13,0,0,1995,3,13
1995-03-14,0,0,1995,3,14
1995-03-15,0,0,1995,3,15
1995-03-16,0,0,1995,3,16
1995-03-17,0,0,1995,3,17
1995-03-18,0,0,1995,3,18
1995-03-19,0,0,1995,3,19
1995-03-20,0,4,1995,3,20
1995-03-21,0,5.8,1995,3,21
1995-03-22,0,11.9,1995,3,22
1995-03-23,0,0,1995,3,23
1995-03-24,0,1.2,1995,3,24
1995-03-25,0,0,1995,3,25
1995-03-26,0,0.6,1995,3,26
1995-03-27,0,0,1995,3,27
1995-03-28,0,0,1995,3,28
1995-03-29,0,0,1995,3,29
1995-03-30,0,0.4,1995,3,30
1995-03-31,0,0,1995,3,31
1995-04-01,0,4.2,1995,4,1
1995-04-02,0,0,1995,4,2
1995-04-03,0,0,1995,4,3
1995-04-04,0,6.2,1995,4,4
1995-04-05,0,1.2,1995,4,5
1995-04-06,0,0.3,1995,4,6
1995-04-07,0,0,1995,4,7
1995-04-08,0,0,1995,4,8
1995-04-09,0,0,1995,4,9
1995-04-10,0,0,1995,4,10
1995-04-11,0,0,1995,4,11
1995-04-12,0,0,1995,4,12
1995-04-13,0,0,1995,4,13
1995-04-14,0,0,1995,4,14
1995-04-15,0,0,1995,4,15
1995-04-16,0,0,1995,4,16
1995-04-17,0,0,1995,4,17
1995-04-18,0,0,1995,4,18
1995-04-19,0.001,0,1995,4,19
1995-04-20,0.004,0,1995,4,20
1995-04-21,0.007,0,1995,4,21
1995-04-22,0.03,0,1995,4,22
1995-04-23,0.055,0,1995,4,23
1995-04-24,0.049,0,1995,4,24
1995-04-25,0.11,0,1995,4,25
1995-04-26,0.244,0,1995,4,26
1995-04-27,0.622,0,1995,4,27
1995-04-28,1,0,1995,4,28
1995-04-29,1.72,0,1995,4,29
1995-04-30,1.95,0,1995,4,30
1995-05-01,2.22,0.6,1995,5,1
1995-05-02,2.37,0.6,1995,5,2
1995-05-03,2.33,0,1995,5,3
1995-05-04,2.17,0,1995,5,4
1995-05-05,2.06,0,1995,5,5
1995-05-06,2.05,0,1995,5,6
1995-05-07,1.99,0,1995,5,7
1995-05-08,1.83,0,1995,5,8
1995-05-09,1.65,0,1995,5,9
1995-05-10,1.49,0,1995,5,10
1995-05-11,1.4,0,1995,5,11
1995-05-12,1.25,0,1995,5,12
1995-05-13,1.14,0,1995,5,13
1995-05-14,1.04,0,1995,5,14
1995-05-15,0.921,2,1995,5,15
1995-05-16,0.871,1.4,1995,5,16
1995-05-17,0.825,1.2,1995,5,17
1995-05-18,0.787,0,1995,5,18
1995-05-19,0.707,0,1995,5,19
1995-05-20,0.659,0,1995,5,20
1995-05-21,0.604,0,1995,5,21
1995-05-22,0.553,0,1995,5,22
1995-05-23,0.524,3.8,1995,5,23
1995-05-24,0.503,0,1995,5,24
1995-05-25,0.461,0,1995,5,25
1995-05-26,0.433,0,1995,5,26
1995-05-27,0.4,0,1995,5,27
1995-05-28,0.374,0,1995,5,28
1995-05-29,0.355,0,1995,5,29
1995-05-30,0.31,0,1995,5,30
1995-05-31,0.253,0.8,1995,5,31
1995-06-01,0.173,0,1995,6,1
1995-06-02,0.181,0,1995,6,2
1995-06-03,0.153,0,1995,6,3
1995-06-04,0.113,0,1995,6,4
1995-06-05,0.094,0,1995,6,5
1995-06-06,0.097,0,1995,6,6
1995-06-07,0.073,0,1995,6,7
1995-06-08,0.076,0,1995,6,8
1995-06-09,0.066,0,1995,6,9
1995-06-10,0.052,0,1995,6,10
1995-06-11,0.043,0,1995,6,11
