Date,Streamflow,Year,Month,Day
1954-01-01,6.5,1954,1,1
1954-02-01,4.1,1954,2,1
1954-03-01,4.3,1954,3,1
1954-04-01,57.4,1954,4,1
1954-05-01,135,1954,5,1
1954-06-01,141,1954,6,1
1954-07-01,41.4,1954,7,1
1954-08-01,44.6,1954,8,1
1954-09-01,72.6,1954,9,1
1954-10-01,97.3,1954,10,1
1954-11-01,86.7,1954,11,1
1954-12-01,21.3,1954,12,1
1955-01-01,14.7,1955,1,1
1955-02-01,11.6,1955,2,1
1955-03-01,9.9,1955,3,1
1955-04-01,53.9,1955,4,1
1955-05-01,394,1955,5,1
1955-06-01,168,1955,6,1
1955-07-01,118,1955,7,1
1955-08-01,58.7,1955,8,1
1955-09-01,50.6,1955,9,1
1955-10-01,77.9,1955,10,1
1955-11-01,39.8,1955,11,1
1955-12-01,17.7,1955,12,1
1956-01-01,10.9,1956,1,1
1956-02-01,8.3,1956,2,1
1956-03-01,8.3,1956,3,1
1956-04-01,8.4,1956,4,1
1956-05-01,368,1956,5,1
1956-06-01,114,1956,6,1
1956-07-01,229,1956,7,1
1956-08-01,330,1956,8,1
1956-09-01,199,1956,9,1
1956-10-01,146,1956,10,1
1956-11-01,44.5,1956,11,1
1956-12-01,24.5,1956,12,1
1957-01-01,17.7,1957,1,1
1957-02-01,12.1,1957,2,1
1957-03-01,10.1,1957,3,1
1957-04-01,12.2,1957,4,1
1957-05-01,723,1957,5,1
1957-06-01,224,1957,6,1
1957-07-01,293,1957,7,1
1957-08-01,43.4,1957,8,1
1957-09-01,28.9,1957,9,1
1957-10-01,68.6,1957,10,1
1957-11-01,54.6,1957,11,1
1957-12-01,17.7,1957,12,1
1958-01-01,12.8,1958,1,1
1958-02-01,10.1,1958,2,1
1958-03-01,9.5,1958,3,1
1958-04-01,13.9,1958,4,1
1958-05-01,353,1958,5,1
1958-06-01,370,1958,6,1
1958-07-01,114,1958,7,1
1958-08-01,29.5,1958,8,1
1958-09-01,78.6,1958,9,1
1958-10-01,157,1958,10,1
1958-11-01,61.1,1958,11,1
1958-12-01,16,1958,12,1
1959-01-01,9.8,1959,1,1
1959-02-01,7.7,1959,2,1
1959-03-01,7.1,1959,3,1
1959-04-01,9.9,1959,4,1
1959-05-01,350,1959,5,1
1959-06-01,191,1959,6,1
1959-07-01,57.6,1959,7,1
1959-08-01,49.1,1959,8,1
1959-09-01,58.1,1959,9,1
1959-10-01,25.6,1959,10,1
1959-11-01,16.8,1959,11,1
1959-12-01,9.5,1959,12,1
1960-01-01,7.1,1960,1,1
1960-02-01,5.7,1960,2,1
1960-03-01,4.6,1960,3,1
1960-04-01,45.7,1960,4,1
1960-05-01,310,1960,5,1
1960-06-01,219,1960,6,1
1960-07-01,38.7,1960,7,1
1960-08-01,20,1960,8,1
1960-09-01,26.6,1960,9,1
1960-10-01,25.1,1960,10,1
1960-11-01,13.6,1960,11,1
1960-12-01,8.8,1960,12,1
1961-01-01,7.9,1961,1,1
1961-02-01,6.4,1961,2,1
1961-03-01,6.1,1961,3,1
1961-04-01,8,1961,4,1
1961-05-01,315,1961,5,1
1961-06-01,266,1961,6,1
1961-07-01,126,1961,7,1
1961-08-01,46.1,1961,8,1
1961-09-01,69.7,1961,9,1
1961-10-01,30.4,1961,10,1
1961-11-01,28.9,1961,11,1
1961-12-01,16.4,1961,12,1
1962-01-01,12.3,1962,1,1
1962-02-01,10.6,1962,2,1
1962-03-01,9.9,1962,3,1
1962-04-01,88,1962,4,1
1962-05-01,310,1962,5,1
1962-06-01,203,1962,6,1
1962-07-01,154,1962,7,1
1962-08-01,59.8,1962,8,1
1962-09-01,220,1962,9,1
1962-10-01,56.2,1962,10,1
1962-11-01,49.6,1962,11,1
1962-12-01,20.8,1962,12,1
1963-01-01,12.3,1963,1,1
1963-02-01,10,1963,2,1
1963-03-01,8.5,1963,3,1
1963-04-01,39.7,1963,4,1
1963-05-01,269,1963,5,1
1963-06-01,199,1963,6,1
1963-07-01,39.1,1963,7,1
1963-08-01,66.6,1963,8,1
1963-09-01,41.4,1963,9,1
1963-10-01,44.2,1963,10,1
1963-11-01,23.3,1963,11,1
1963-12-01,13.8,1963,12,1
1964-01-01,10.5,1964,1,1
1964-02-01,7.6,1964,2,1
1964-03-01,6.6,1964,3,1
1964-04-01,6.8,1964,4,1
1964-05-01,428,1964,5,1
1964-06-01,290,1964,6,1
1964-07-01,38.3,1964,7,1
1964-08-01,37.6,1964,8,1
1964-09-01,132,1964,9,1
1964-10-01,59.3,1964,10,1
1964-11-01,20.1,1964,11,1
1964-12-01,14.7,1964,12,1
1965-01-01,9.6,1965,1,1
1965-02-01,8.8,1965,2,1
1965-03-01,8.8,1965,3,1
1965-04-01,11.5,1965,4,1
1965-05-01,507,1965,5,1
1965-06-01,327,1965,6,1
1965-07-01,72.7,1965,7,1
1965-08-01,123,1965,8,1
1965-09-01,193,1965,9,1
1965-10-01,123,1965,10,1
1965-11-01,45.2,1965,11,1
1965-12-01,19.3,1965,12,1
1966-01-01,14.7,1966,1,1
1966-02-01,10.6,1966,2,1
1966-03-01,8.8,1966,3,1
1966-04-01,12.3,1966,4,1
1966-05-01,503,1966,5,1
1966-06-01,197,1966,6,1
1966-07-01,54.8,1966,7,1
1966-08-01,43.2,1966,8,1
1966-09-01,126,1966,9,1
1966-10-01,117,1966,10,1
