Date,Streamflow,Precip,Year,Month,Day
13/06/1967,129,2.8,1967,6,13
14/06/1967,114,1.8,1967,6,14
15/06/1967,109,1.5,1967,6,15
16/06/1967,100,0.8,1967,6,16
17/06/1967,93.4,0,1967,6,17
18/06/1967,87.8,0,1967,6,18
19/06/1967,81.6,2,1967,6,19
20/06/1967,76.2,6.1,1967,6,20
21/06/1967,70.2,2.5,1967,6,21
22/06/1967,66.3,1.5,1967,6,22
23/06/1967,63.1,0,1967,6,23
24/06/1967,60.6,0,1967,6,24
25/06/1967,56.4,0,1967,6,25
26/06/1967,52.7,0,1967,6,26
27/06/1967,48.1,0,1967,6,27
28/06/1967,45.3,0,1967,6,28
29/06/1967,41.9,0,1967,6,29
30/06/1967,35.1,0.8,1967,6,30
01/07/1967,33.1,0,1967,7,1
02/07/1967,36.5,1.5,1967,7,2
03/07/1967,43,0.5,1967,7,3
04/07/1967,53.2,0,1967,7,4
05/07/1967,56.9,0,1967,7,5
06/07/1967,56.1,0,1967,7,6
07/07/1967,52.1,11.2,1967,7,7
08/07/1967,49.6,3,1967,7,8
09/07/1967,46.4,0,1967,7,9
10/07/1967,45.9,7.4,1967,7,10
11/07/1967,42.5,6.6,1967,7,11
12/07/1967,39.6,9.1,1967,7,12
13/07/1967,47.9,0,1967,7,13
14/07/1967,62.9,0,1967,7,14
15/07/1967,65.4,0.5,1967,7,15
16/07/1967,64.6,0,1967,7,16
17/07/1967,62.9,0,1967,7,17
18/07/1967,62.9,0,1967,7,18
19/07/1967,58.9,0,1967,7,19
20/07/1967,54.9,0,1967,7,20
21/07/1967,51.3,9.4,1967,7,21
22/07/1967,47.6,1,1967,7,22
23/07/1967,45.9,69.6,1967,7,23
24/07/1967,42.8,0,1967,7,24
25/07/1967,41.9,0,1967,7,25
26/07/1967,39.6,0.3,1967,7,26
27/07/1967,37.4,0,1967,7,27
28/07/1967,35.4,0.5,1967,7,28
29/07/1967,33.1,0.3,1967,7,29
30/07/1967,29.7,0,1967,7,30
31/07/1967,28.3,0,1967,7,31
01/08/1967,27.3,0,1967,8,1
02/08/1967,25.7,10.7,1967,8,2
03/08/1967,23.2,0,1967,8,3
04/08/1967,22.4,0,1967,8,4
05/08/1967,21.7,2.8,1967,8,5
06/08/1967,20.9,0.3,1967,8,6
07/08/1967,20.4,0.3,1967,8,7
08/08/1967,19.7,8.4,1967,8,8
09/08/1967,17.9,0,1967,8,9
10/08/1967,19.7,0,1967,8,10
11/08/1967,20.4,0,1967,8,11
12/08/1967,20.4,0,1967,8,12
13/08/1967,19.9,0,1967,8,13
14/08/1967,20.4,0.5,1967,8,14
15/08/1967,20.6,0,1967,8,15
16/08/1967,20.2,0,1967,8,16
17/08/1967,21.2,0.3,1967,8,17
18/08/1967,21.4,0,1967,8,18
19/08/1967,21.7,2.3,1967,8,19
20/08/1967,19.7,0,1967,8,20
21/08/1967,21.7,0,1967,8,21
22/08/1967,20.6,0,1967,8,22
23/08/1967,21.4,0,1967,8,23
24/08/1967,20.2,0,1967,8,24
25/08/1967,18.8,14,1967,8,25
26/08/1967,17.9,0,1967,8,26
27/08/1967,17.7,0,1967,8,27
28/08/1967,15.9,0,1967,8,28
29/08/1967,14.5,0,1967,8,29
30/08/1967,14.9,0,1967,8,30
31/08/1967,14.7,0.3,1967,8,31
01/09/1967,15.3,0,1967,9,1
02/09/1967,15.3,0,1967,9,2
03/09/1967,15.3,0,1967,9,3
04/09/1967,13.9,0,1967,9,4
05/09/1967,12.3,0,1967,9,5
06/09/1967,12.5,0,1967,9,6
07/09/1967,13.3,0,1967,9,7
08/09/1967,10.6,2,1967,9,8
09/09/1967,8.21,0,1967,9,9
10/09/1967,10.1,0.3,1967,9,10
11/09/1967,10.1,0.5,1967,9,11
12/09/1967,8.78,0,1967,9,12
13/09/1967,8.78,0,1967,9,13
14/09/1967,8.38,0.5,1967,9,14
15/09/1967,8.04,0,1967,9,15
16/09/1967,7.36,0,1967,9,16
17/09/1967,7.19,0,1967,9,17
18/09/1967,5.89,0,1967,9,18
19/09/1967,6.34,0,1967,9,19
20/09/1967,7.19,17,1967,9,20
21/09/1967,4.25,0.3,1967,9,21
22/09/1967,5.58,0,1967,9,22
23/09/1967,6.68,8.4,1967,9,23
24/09/1967,4.53,1.5,1967,9,24
25/09/1967,5.27,22.1,1967,9,25
26/09/1967,5.1,2.5,1967,9,26
27/09/1967,5.44,0,1967,9,27
28/09/1967,7.02,0,1967,9,28
29/09/1967,8.04,0,1967,9,29
30/09/1967,7.36,0,1967,9,30
01/10/1967,7.7,0,1967,10,1
02/10/1967,8.38,0,1967,10,2
03/10/1967,8.78,0,1967,10,3
04/10/1967,8.78,7.9,1967,10,4
05/10/1967,8.78,0.3,1967,10,5
06/10/1967,7.82,0,1967,10,6
07/10/1967,7.7,0,1967,10,7
08/10/1967,7.59,0,1967,10,8
09/10/1967,7.59,0,1967,10,9
10/10/1967,7.59,0,1967,10,10
11/10/1967,7.59,0,1967,10,11
12/10/1967,8.04,0,1967,10,12
13/10/1967,8.5,3.3,1967,10,13
14/10/1967,8.5,0.8,1967,10,14
15/10/1967,8.5,0,1967,10,15
16/10/1967,8.5,0,1967,10,16
17/10/1967,8.5,2.8,1967,10,17
18/10/1967,8.27,0,1967,10,18
19/10/1967,8.16,0,1967,10,19
20/10/1967,8.92,3.3,1967,10,20
21/10/1967,9.06,0.5,1967,10,21
22/10/1967,9.06,0,1967,10,22
23/10/1967,9.2,0,1967,10,23
24/10/1967,9.2,9.9,1967,10,24
25/10/1967,9.06,18.8,1967,10,25
26/10/1967,8.92,3.8,1967,10,26
27/10/1967,9.2,0.8,1967,10,27
28/10/1967,10.6,0,1967,10,28
29/10/1967,10.9,0.3,1967,10,29
30/10/1967,11.3,1.3,1967,10,30
31/10/1967,12.1,8.1,1967,10,31
01/11/1967,13.5,1.8,1967,11,1
02/11/1967,14.3,0,1967,11,2
03/11/1967,15.1,0.8,1967,11,3
04/11/1967,16.1,0.3,1967,11,4
05/11/1967,16.7,0,1967,11,5
06/11/1967,16.7,0.3,1967,11,6
07/11/1967,16.7,0,1967,11,7
08/11/1967,16.7,0.3,1967,11,8
09/11/1967,15.9,0,1967,11,9
10/11/1967,15.9,2.8,1967,11,10
11/11/1967,15.1,4.6,1967,11,11
12/11/1967,14.7,1,1967,11,12
13/11/1967,14.4,0.3,1967,11,13
14/11/1967,14.2,0,1967,11,14
15/11/1967,14,0,1967,11,15
16/11/1967,13.7,1.5,1967,11,16
17/11/1967,13.6,0.8,1967,11,17
18/11/1967,13.3,4.3,1967,11,18
19/11/1967,13.2,0.5,1967,11,19
20/11/1967,13,2.3,1967,11,20
21/11/1967,12.7,0.3,1967,11,21
22/11/1967,12.6,0.3,1967,11,22
23/11/1967,12.5,0,1967,11,23
24/11/1967,12.2,0.5,1967,11,24
25/11/1967,12,2.3,1967,11,25
26/11/1967,11.8,2.8,1967,11,26
27/11/1967,11.6,1,1967,11,27
28/11/1967,11.5,1.8,1967,11,28
29/11/1967,11.2,0.3,1967,11,29
30/11/1967,11,0,1967,11,30
01/12/1967,10.9,1.8,1967,12,1
02/12/1967,10.8,0,1967,12,2
03/12/1967,10.6,0,1967,12,3
04/12/1967,10.5,0,1967,12,4
05/12/1967,10.2,0,1967,12,5
06/12/1967,10.1,0,1967,12,6
07/12/1967,9.91,0,1967,12,7
08/12/1967,9.77,0.5,1967,12,8
09/12/1967,9.63,0,1967,12,9
10/12/1967,9.49,0.3,1967,12,10
11/12/1967,9.34,0.5,1967,12,11
12/12/1967,9.2,2.5,1967,12,12
13/12/1967,9.06,5.1,1967,12,13
