Date,Streamflow,Precip,Year,Month,Day
1997-01-01,0,0,1997,1,1
1997-01-02,0,0,1997,1,2
1997-01-03,0,0,1997,1,3
1997-01-04,0,0,1997,1,4
1997-01-05,0,0,1997,1,5
1997-01-06,0,0,1997,1,6
1997-01-07,0,,1997,1,7
1997-01-08,0,0,1997,1,8
1997-01-09,0,0,1997,1,9
1997-01-10,0,1.27,1997,1,10
1997-01-11,0,,1997,1,11
1997-01-12,0,0,1997,1,12
1997-01-13,0,3.302,1997,1,13
1997-01-14,0,0,1997,1,14
1997-01-15,0,0,1997,1,15
1997-01-16,0,,1997,1,16
1997-01-17,0,,1997,1,17
1997-01-18,0,0,1997,1,18
1997-01-19,0,,1997,1,19
1997-01-20,0,1.016,1997,1,20
1997-01-21,0,0,1997,1,21
1997-01-22,0,0,1997,1,22
1997-01-23,0,,1997,1,23
1997-01-24,0,0,1997,1,24
1997-01-25,0,0,1997,1,25
1997-01-26,0,0,1997,1,26
1997-01-27,0,0,1997,1,27
1997-01-28,0,0,1997,1,28
1997-01-29,0,1.016,1997,1,29
1997-01-30,0,0.762,1997,1,30
1997-01-31,0,0.254,1997,1,31
1997-02-01,0,2.286,1997,2,1
1997-02-02,0,0,1997,2,2
1997-02-03,0,1.016,1997,2,3
1997-02-04,0,0.762,1997,2,4
1997-02-05,0,0,1997,2,5
1997-02-06,0,2.54,1997,2,6
1997-02-07,0,,1997,2,7
1997-02-08,0,0,1997,2,8
1997-02-09,0,0,1997,2,9
1997-02-10,0,0,1997,2,10
1997-02-11,0,0,1997,2,11
1997-02-12,0,0,1997,2,12
1997-02-13,0,0,1997,2,13
1997-02-14,0,0,1997,2,14
1997-02-15,0,0,1997,2,15
1997-02-16,0,0,1997,2,16
1997-02-17,0,,1997,2,17
1997-02-18,0,0,1997,2,18
1997-02-19,0,0,1997,2,19
1997-02-20,0,,1997,2,20
1997-02-21,0,0,1997,2,21
1997-02-22,0,2.794,1997,2,22
1997-02-23,0,0.762,1997,2,23
1997-02-24,0,0.762,1997,2,24
1997-02-25,0,6.096,1997,2,25
1997-02-26,0,2.794,1997,2,26
1997-02-27,0,1.27,1997,2,27
1997-02-28,0,0,1997,2,28
1997-03-01,0,0,1997,3,1
1997-03-02,0,0,1997,3,2
1997-03-03,0,0,1997,3,3
1997-03-04,0,0,1997,3,4
1997-03-05,0,0,1997,3,5
1997-03-06,0,0,1997,3,6
1997-03-07,0,0,1997,3,7
1997-03-08,0,,1997,3,8
1997-03-09,0,0,1997,3,9
1997-03-10,0,0,1997,3,10
1997-03-11,0,0,1997,3,11
1997-03-12,0,0,1997,3,12
1997-03-13,0,0,1997,3,13
1997-03-14,0,0,1997,3,14
1997-03-15,0,,1997,3,15
1997-03-16,0,0,1997,3,16
1997-03-17,0,0,1997,3,17
1997-03-18,0,0,1997,3,18
1997-03-19,0,,1997,3,19
1997-03-20,0,0,1997,3,20
1997-03-21,0,0,1997,3,21
1997-03-22,0,,1997,3,22
1997-03-23,0,0,1997,3,23
1997-03-24,0,0,1997,3,24
1997-03-25,0,0,1997,3,25
1997-03-26,0,0,1997,3,26
1997-03-27,0,0,1997,3,27
1997-03-28,0,0,1997,3,28
1997-03-29,0,0,1997,3,29
1997-03-30,0,0,1997,3,30
1997-03-31,0,0,1997,3,31
1997-04-01,0,0,1997,4,1
1997-04-02,0,0,1997,4,2
1997-04-03,0,,1997,4,3
1997-04-04,0,,1997,4,4
1997-04-05,0,0,1997,4,5
1997-04-06,0,0,1997,4,6
1997-04-07,0,0,1997,4,7
1997-04-08,0,0,1997,4,8
1997-04-09,0,0,1997,4,9
1997-04-10,0,0,1997,4,10
1997-04-11,0,0,1997,4,11
1997-04-12,0,,1997,4,12
1997-04-13,0,1.27,1997,4,13
1997-04-14,0,0,1997,4,14
1997-04-15,0,,1997,4,15
1997-04-16,0,0.508,1997,4,16
1997-04-17,0,0,1997,4,17
1997-04-18,0,0,1997,4,18
1997-04-19,0,0,1997,4,19
1997-04-20,0,0,1997,4,20
1997-04-21,0,0,1997,4,21
1997-04-22,0,0,1997,4,22
1997-04-23,0,0,1997,4,23
1997-04-24,0,0,1997,4,24
1997-04-25,0,0,1997,4,25
1997-04-26,0,0,1997,4,26
1997-04-27,0,,1997,4,27
1997-04-28,0,0,1997,4,28
1997-04-29,0,,1997,4,29
1997-04-30,0,,1997,4,30
1997-05-01,0.1981,,1997,5,1
1997-05-02,0.2547,,1997,5,2
1997-05-03,0.3679,,1997,5,3
1997-05-04,0.5377,0,1997,5,4
1997-05-05,0.8207,0,1997,5,5
1997-05-06,1.415,0,1997,5,6
1997-05-07,3.679,0,1997,5,7
1997-05-08,7.075,0,1997,5,8
1997-05-09,12.452,0,1997,5,9
1997-05-10,16.98,,1997,5,10
1997-05-11,19.81,,1997,5,11
1997-05-12,22.64,1.27,1997,5,12
1997-05-13,19.81,1.27,1997,5,13
1997-05-14,16.414,0,1997,5,14
1997-05-15,12.169,1.778,1997,5,15
1997-05-16,8.49,0,1997,5,16
1997-05-17,5.8864,,1997,5,17
1997-05-18,5.4902,0,1997,5,18
1997-05-19,4.4148,0,1997,5,19
1997-05-20,4.1884,,1997,5,20
1997-05-21,5.5468,0.508,1997,5,21
1997-05-22,6.7071,,1997,5,22
1997-05-23,4.3299,,1997,5,23
1997-05-24,3.113,0.508,1997,5,24
1997-05-25,3.0847,0,1997,5,25
1997-05-26,3.5658,0,1997,5,26
1997-05-27,4.5846,0,1997,5,27
1997-05-28,5.6317,0,1997,5,28
1997-05-29,6.2543,0,1997,5,29
1997-05-30,4.2733,0,1997,5,30
1997-05-31,2.8583,0.254,1997,5,31
1997-06-01,2.28664,0.254,1997,6,1
1997-06-02,2.08571,0,1997,6,2
