Date,Streamflow,Precip,Year,Month,Day
01/10/1970,1.66,0.8,1970,10,1
02/10/1970,1.62,2.5,1970,10,2
03/10/1970,1.51,0,1970,10,3
04/10/1970,1.3,0,1970,10,4
05/10/1970,1.13,0,1970,10,5
06/10/1970,1.23,45,1970,10,6
07/10/1970,1.84,8.1,1970,10,7
08/10/1970,2.17,0,1970,10,8
09/10/1970,2.06,0.5,1970,10,9
10/10/1970,2.1,11.7,1970,10,10
11/10/1970,2.17,2,1970,10,11
12/10/1970,2.1,0,1970,10,12
13/10/1970,2.14,0.5,1970,10,13
14/10/1970,2.06,0,1970,10,14
15/10/1970,2.1,0.8,1970,10,15
16/10/1970,2.14,0,1970,10,16
17/10/1970,2.28,0,1970,10,17
18/10/1970,2.25,0,1970,10,18
19/10/1970,2.25,0,1970,10,19
20/10/1970,2.32,0,1970,10,20
21/10/1970,2.32,0,1970,10,21
22/10/1970,2.5,0,1970,10,22
23/10/1970,2.58,0,1970,10,23
24/10/1970,2.86,0,1970,10,24
25/10/1970,3.14,0,1970,10,25
26/10/1970,4.08,0.5,1970,10,26
27/10/1970,5.69,7.4,1970,10,27
28/10/1970,7.53,7.1,1970,10,28
29/10/1970,10.7,3,1970,10,29
30/10/1970,12.8,1.5,1970,10,30
31/10/1970,13.5,0,1970,10,31
01/11/1970,13,0,1970,11,1
02/11/1970,12.4,0,1970,11,2
03/11/1970,11.9,0,1970,11,3
04/11/1970,11.6,0,1970,11,4
05/11/1970,11,0,1970,11,5
06/11/1970,9.94,0,1970,11,6
07/11/1970,8.72,0.5,1970,11,7
08/11/1970,7.96,1.5,1970,11,8
09/11/1970,7.39,1.5,1970,11,9
10/11/1970,6.99,0.8,1970,11,10
11/11/1970,6.77,0.3,1970,11,11
12/11/1970,6.51,0,1970,11,12
13/11/1970,6.29,0,1970,11,13
14/11/1970,6.03,0,1970,11,14
15/11/1970,5.47,0.3,1970,11,15
16/11/1970,5.38,0,1970,11,16
17/11/1970,5.24,1,1970,11,17
18/11/1970,5.07,1.3,1970,11,18
19/11/1970,4.81,4.6,1970,11,19
20/11/1970,4.56,3.3,1970,11,20
21/11/1970,4.39,0,1970,11,21
22/11/1970,4.33,0.3,1970,11,22
23/11/1970,4.3,0,1970,11,23
24/11/1970,4.25,1.8,1970,11,24
25/11/1970,4.25,5.3,1970,11,25
26/11/1970,4.22,0,1970,11,26
27/11/1970,4.16,0,1970,11,27
28/11/1970,4.13,1.8,1970,11,28
29/11/1970,4.08,1,1970,11,29
30/11/1970,4.08,0,1970,11,30
01/12/1970,4.05,11.2,1970,12,1
02/12/1970,4.05,4.8,1970,12,2
03/12/1970,3.99,1,1970,12,3
04/12/1970,3.91,1,1970,12,4
05/12/1970,3.82,0,1970,12,5
06/12/1970,3.74,0,1970,12,6
07/12/1970,3.65,6.9,1970,12,7
08/12/1970,3.57,0,1970,12,8
09/12/1970,3.54,0.3,1970,12,9
10/12/1970,3.48,0,1970,12,10
11/12/1970,3.4,0.3,1970,12,11
12/12/1970,3.31,6.6,1970,12,12
13/12/1970,3.23,1.5,1970,12,13
14/12/1970,3.2,0,1970,12,14
15/12/1970,3.14,1.8,1970,12,15
16/12/1970,3.06,0,1970,12,16
17/12/1970,2.97,0,1970,12,17
18/12/1970,2.89,0,1970,12,18
19/12/1970,2.8,0,1970,12,19
20/12/1970,2.78,0,1970,12,20
21/12/1970,2.69,0,1970,12,21
22/12/1970,2.61,0,1970,12,22
23/12/1970,2.58,0,1970,12,23
24/12/1970,2.49,0.5,1970,12,24
25/12/1970,2.44,4.1,1970,12,25
26/12/1970,2.41,0,1970,12,26
27/12/1970,2.35,0,1970,12,27
28/12/1970,2.29,0,1970,12,28
29/12/1970,2.21,0,1970,12,29
30/12/1970,2.18,0.3,1970,12,30
31/12/1970,2.1,2,1970,12,31
01/01/1971,1.93,2,1971,1,1
02/01/1971,1.87,2.3,1971,1,2
03/01/1971,1.81,1.3,1971,1,3
04/01/1971,1.7,0.8,1971,1,4
05/01/1971,1.61,0.3,1971,1,5
06/01/1971,1.56,0,1971,1,6
07/01/1971,1.47,0,1971,1,7
08/01/1971,1.42,1,1971,1,8
09/01/1971,1.36,0,1971,1,9
10/01/1971,1.33,0,1971,1,10
11/01/1971,1.3,0,1971,1,11
12/01/1971,1.27,0,1971,1,12
13/01/1971,1.25,1.8,1971,1,13
14/01/1971,1.25,0.8,1971,1,14
15/01/1971,1.19,0,1971,1,15
16/01/1971,1.16,0,1971,1,16
17/01/1971,1.13,0,1971,1,17
18/01/1971,1.13,0,1971,1,18
19/01/1971,1.1,0.3,1971,1,19
20/01/1971,1.1,5.1,1971,1,20
21/01/1971,1.1,0.8,1971,1,21
22/01/1971,1.08,0,1971,1,22
23/01/1971,1.08,0,1971,1,23
24/01/1971,1.05,0,1971,1,24
25/01/1971,1.05,0,1971,1,25
26/01/1971,1.05,0,1971,1,26
27/01/1971,1.02,0,1971,1,27
28/01/1971,1.02,0,1971,1,28
29/01/1971,0.991,0,1971,1,29
30/01/1971,0.991,0,1971,1,30
31/01/1971,0.963,0,1971,1,31
01/02/1971,0.963,0,1971,2,1
02/02/1971,0.963,0,1971,2,2
03/02/1971,0.934,0.8,1971,2,3
04/02/1971,0.934,0,1971,2,4
05/02/1971,0.934,0,1971,2,5
06/02/1971,0.906,0,1971,2,6
07/02/1971,0.906,0,1971,2,7
08/02/1971,0.878,0,1971,2,8
09/02/1971,0.85,0,1971,2,9
10/02/1971,0.85,0,1971,2,10
11/02/1971,0.85,0,1971,2,11
12/02/1971,0.85,0,1971,2,12
13/02/1971,0.85,5.8,1971,2,13
14/02/1971,0.85,0,1971,2,14
15/02/1971,0.85,3,1971,2,15
16/02/1971,0.821,4.3,1971,2,16
17/02/1971,0.821,2.8,1971,2,17
18/02/1971,0.821,0.5,1971,2,18
19/02/1971,0.821,0,1971,2,19
20/02/1971,0.793,0,1971,2,20
21/02/1971,0.793,0,1971,2,21
22/02/1971,0.793,0,1971,2,22
23/02/1971,0.793,0,1971,2,23
24/02/1971,0.793,0,1971,2,24
25/02/1971,0.765,0,1971,2,25
26/02/1971,0.765,0.3,1971,2,26
27/02/1971,0.765,0,1971,2,27
28/02/1971,0.765,0,1971,2,28
01/03/1971,0.736,0,1971,3,1
02/03/1971,0.756,0,1971,3,2
03/03/1971,0.782,0,1971,3,3
04/03/1971,0.793,0,1971,3,4
05/03/1971,0.782,4.8,1971,3,5
06/03/1971,0.742,0.3,1971,3,6
07/03/1971,0.708,0,1971,3,7
08/03/1971,0.682,0,1971,3,8
09/03/1971,0.677,0,1971,3,9
10/03/1971,0.685,0.3,1971,3,10
11/03/1971,0.708,0,1971,3,11
12/03/1971,0.714,0,1971,3,12
13/03/1971,0.691,0,1971,3,13
14/03/1971,0.677,0,1971,3,14
15/03/1971,0.697,0,1971,3,15
16/03/1971,0.699,0,1971,3,16
17/03/1971,0.733,0,1971,3,17
18/03/1971,0.736,0,1971,3,18
19/03/1971,0.742,0,1971,3,19
20/03/1971,0.739,0.8,1971,3,20
21/03/1971,0.711,0.3,1971,3,21
22/03/1971,0.716,0.5,1971,3,22
23/03/1971,0.699,0,1971,3,23
24/03/1971,0.697,0,1971,3,24
25/03/1971,0.682,0,1971,3,25
26/03/1971,0.674,0,1971,3,26
27/03/1971,0.668,3,1971,3,27
28/03/1971,0.697,1.8,1971,3,28
29/03/1971,0.719,0,1971,3,29
30/03/1971,0.708,0,1971,3,30
31/03/1971,0.699,0,1971,3,31
01/04/1971,0.688,0,1971,4,1
02/04/1971,0.665,0,1971,4,2
03/04/1971,0.665,0,1971,4,3
04/04/1971,0.685,0,1971,4,4
05/04/1971,0.702,1.5,1971,4,5
06/04/1971,0.714,0,1971,4,6
07/04/1971,0.733,0,1971,4,7
08/04/1971,0.813,0,1971,4,8
09/04/1971,0.75,0,1971,4,9
10/04/1971,0.739,0,1971,4,10
11/04/1971,0.739,12.4,1971,4,11
12/04/1971,0.77,1.8,1971,4,12
13/04/1971,0.821,0,1971,4,13
14/04/1971,0.957,0,1971,4,14
15/04/1971,1.22,0,1971,4,15
16/04/1971,1.7,3.3,1971,4,16
17/04/1971,2.44,0.5,1971,4,17
18/04/1971,3.54,0,1971,4,18
19/04/1971,4.19,0,1971,4,19
20/04/1971,5.1,0,1971,4,20
21/04/1971,6.6,0,1971,4,21
22/04/1971,8.86,0,1971,4,22
23/04/1971,11.6,1.5,1971,4,23
24/04/1971,12.5,0.5,1971,4,24
25/04/1971,12.9,0,1971,4,25
26/04/1971,13,0,1971,4,26
27/04/1971,12.7,0,1971,4,27
28/04/1971,12.8,0,1971,4,28
29/04/1971,12.9,0,1971,4,29
30/04/1971,13.3,0,1971,4,30
01/05/1971,13.7,0,1971,5,1
02/05/1971,13.3,0,1971,5,2
03/05/1971,13.7,0,1971,5,3
04/05/1971,14.6,0,1971,5,4
05/05/1971,15.5,0,1971,5,5
06/05/1971,16.2,8.4,1971,5,6
07/05/1971,18.7,0,1971,5,7
08/05/1971,19.5,0,1971,5,8
09/05/1971,19.6,0,1971,5,9
10/05/1971,18.1,0,1971,5,10
11/05/1971,16.4,0,1971,5,11
12/05/1971,15.5,0,1971,5,12
13/05/1971,14.6,0,1971,5,13
14/05/1971,13.8,8.6,1971,5,14
15/05/1971,16.1,2.3,1971,5,15
16/05/1971,19.5,2,1971,5,16
17/05/1971,21.5,0,1971,5,17
18/05/1971,23,0,1971,5,18
19/05/1971,22.5,0,1971,5,19
20/05/1971,21,0.3,1971,5,20
21/05/1971,19.2,0,1971,5,21
22/05/1971,17.5,0,1971,5,22
23/05/1971,16,0,1971,5,23
24/05/1971,14.8,0,1971,5,24
25/05/1971,13.8,0.8,1971,5,25
26/05/1971,12.7,0,1971,5,26
27/05/1971,11.8,8.4,1971,5,27
28/05/1971,11.2,22.1,1971,5,28
29/05/1971,10.9,3.6,1971,5,29
30/05/1971,10.5,0,1971,5,30
31/05/1971,9.88,0,1971,5,31
01/06/1971,9.46,4.6,1971,6,1
02/06/1971,9.17,1,1971,6,2
03/06/1971,8.72,0,1971,6,3
04/06/1971,8.21,0,1971,6,4
05/06/1971,7.73,0,1971,6,5
06/06/1971,7.28,0,1971,6,6
07/06/1971,6.82,0,1971,6,7
08/06/1971,6.46,0,1971,6,8
09/06/1971,6.26,0,1971,6,9
10/06/1971,6.2,10.9,1971,6,10
11/06/1971,6.43,0,1971,6,11
12/06/1971,6.37,0.8,1971,6,12
13/06/1971,6.17,0,1971,6,13
14/06/1971,6.12,0,1971,6,14
15/06/1971,6.06,11.7,1971,6,15
16/06/1971,6.03,0.5,1971,6,16
17/06/1971,5.89,4.8,1971,6,17
18/06/1971,5.78,2.5,1971,6,18
19/06/1971,5.61,0,1971,6,19
20/06/1971,5.38,0,1971,6,20
21/06/1971,5.18,10.4,1971,6,21
22/06/1971,5.04,0,1971,6,22
23/06/1971,4.93,0,1971,6,23
24/06/1971,4.7,0,1971,6,24
25/06/1971,4.47,0,1971,6,25
26/06/1971,4.36,26.7,1971,6,26
27/06/1971,4.96,0.8,1971,6,27
28/06/1971,5.21,0,1971,6,28
29/06/1971,4.96,0,1971,6,29
30/06/1971,4.64,0,1971,6,30
01/07/1971,4.33,16.5,1971,7,1
02/07/1971,4.36,26.9,1971,7,2
03/07/1971,6.29,7.6,1971,7,3
04/07/1971,21.9,8.4,1971,7,4
05/07/1971,19.5,1.3,1971,7,5
06/07/1971,16.2,0,1971,7,6
07/07/1971,13.2,23.9,1971,7,7
08/07/1971,13.1,4.3,1971,7,8
09/07/1971,13.6,0.8,1971,7,9
10/07/1971,12.4,0,1971,7,10
11/07/1971,11.7,1,1971,7,11
12/07/1971,12.9,24.6,1971,7,12
13/07/1971,15.2,2.5,1971,7,13
14/07/1971,14.9,1.8,1971,7,14
15/07/1971,13.9,0,1971,7,15
16/07/1971,12.3,0,1971,7,16
17/07/1971,11,0,1971,7,17
18/07/1971,10.3,0.8,1971,7,18
19/07/1971,9.57,0,1971,7,19
20/07/1971,8.95,4.3,1971,7,20
21/07/1971,9.2,2,1971,7,21
22/07/1971,9.12,4.8,1971,7,22
23/07/1971,8.83,0,1971,7,23
24/07/1971,8.55,0,1971,7,24
25/07/1971,8.13,7.9,1971,7,25
26/07/1971,7.99,7.4,1971,7,26
27/07/1971,8.1,6.4,1971,7,27
28/07/1971,8.24,2.5,1971,7,28
29/07/1971,8.33,0,1971,7,29
30/07/1971,8.04,0.3,1971,7,30
31/07/1971,8.24,7.1,1971,7,31
01/08/1971,8.24,0,1971,8,1
02/08/1971,7.93,0,1971,8,2
03/08/1971,7.5,0,1971,8,3
04/08/1971,7.11,0,1971,8,4
05/08/1971,6.85,0,1971,8,5
06/08/1971,6.51,0.5,1971,8,6
07/08/1971,6.34,13,1971,8,7
08/08/1971,6.74,2.5,1971,8,8
09/08/1971,6.8,0,1971,8,9
10/08/1971,6.51,4.3,1971,8,10
11/08/1971,6.48,21.3,1971,8,11
12/08/1971,7.45,0.5,1971,8,12
13/08/1971,8.1,0,1971,8,13
14/08/1971,7.82,0,1971,8,14
15/08/1971,7.73,8.9,1971,8,15
16/08/1971,7.67,0,1971,8,16
17/08/1971,7.48,12.7,1971,8,17
18/08/1971,7.99,1.3,1971,8,18
19/08/1971,8.33,0,1971,8,19
20/08/1971,8.1,0,1971,8,20
21/08/1971,7.7,0,1971,8,21
22/08/1971,7.31,0,1971,8,22
23/08/1971,6.91,0,1971,8,23
24/08/1971,7.02,0,1971,8,24
25/08/1971,7.59,0,1971,8,25
26/08/1971,7.73,0,1971,8,26
27/08/1971,7.53,0,1971,8,27
28/08/1971,7.31,0,1971,8,28
29/08/1971,7.02,0,1971,8,29
30/08/1971,6.68,0,1971,8,30
31/08/1971,6.4,0,1971,8,31
01/09/1971,6.17,5.8,1971,9,1
02/09/1971,6.4,21.8,1971,9,2
03/09/1971,6.6,0,1971,9,3
04/09/1971,6.34,0,1971,9,4
05/09/1971,6.09,0,1971,9,5
06/09/1971,5.86,0,1971,9,6
07/09/1971,5.66,7.6,1971,9,7
08/09/1971,5.89,0,1971,9,8
09/09/1971,5.92,0,1971,9,9
10/09/1971,5.75,0,1971,9,10
11/09/1971,5.49,0,1971,9,11
12/09/1971,5.41,8.4,1971,9,12
13/09/1971,5.58,3.8,1971,9,13
14/09/1971,5.44,0,1971,9,14
15/09/1971,5.38,1.5,1971,9,15
16/09/1971,5.24,0.3,1971,9,16
17/09/1971,5.13,0,1971,9,17
18/09/1971,5.01,0,1971,9,18
19/09/1971,4.98,0.3,1971,9,19
20/09/1971,4.98,0,1971,9,20
21/09/1971,4.81,0,1971,9,21
22/09/1971,4.67,1.5,1971,9,22
23/09/1971,4.62,0,1971,9,23
24/09/1971,4.53,0,1971,9,24
25/09/1971,4.33,0,1971,9,25
26/09/1971,4.19,0.3,1971,9,26
27/09/1971,4.39,13.7,1971,9,27
28/09/1971,4.87,0.3,1971,9,28
29/09/1971,4.98,0,1971,9,29
30/09/1971,4.9,4.8,1971,9,30
01/10/1971,4.9,1,1971,10,1
02/10/1971,4.9,0,1971,10,2
03/10/1971,4.9,0,1971,10,3
04/10/1971,4.96,2.5,1971,10,4
05/10/1971,5.32,2.3,1971,10,5
06/10/1971,5.78,0,1971,10,6
07/10/1971,5.95,5.3,1971,10,7
08/10/1971,7.25,0.3,1971,10,8
09/10/1971,7.87,0,1971,10,9
10/10/1971,5.439097561,1.8,1971,10,10
11/10/1971,5.422268293,0,1971,10,11
12/10/1971,5.544804878,4.8,1971,10,12
13/10/1971,5.867121951,0,1971,10,13
14/10/1971,5.956414634,0,1971,10,14
15/10/1971,5.956487805,0.3,1971,10,15
16/10/1971,5.888487805,0,1971,10,16
17/10/1971,5.900121951,2,1971,10,17
18/10/1971,5.869414634,22.4,1971,10,18
