Date,Streamflow,Precip,Year,Month,Day
1969-07-30,22.4,0.3,1969,7,30
1969-07-31,22.8,5.8,1969,7,31
1969-08-01,21.8,0.3,1969,8,1
1969-08-02,20.2,0,1969,8,2
1969-08-03,19.3,0,1969,8,3
1969-08-04,19.5,1,1969,8,4
1969-08-05,19.1,0,1969,8,5
1969-08-06,17.7,3.8,1969,8,6
1969-08-07,16.6,11.7,1969,8,7
1969-08-08,15.9,0,1969,8,8
1969-08-09,17.7,0,1969,8,9
1969-08-10,16.9,0,1969,8,10
1969-08-11,17.1,0.3,1969,8,11
1969-08-12,19.3,2,1969,8,12
1969-08-13,14.6,1.3,1969,8,13
1969-08-14,14,2.5,1969,8,14
1969-08-15,14.2,2.5,1969,8,15
1969-08-16,13.7,0,1969,8,16
1969-08-17,16.9,0,1969,8,17
1969-08-18,15.4,10.2,1969,8,18
1969-08-19,14.9,16.8,1969,8,19
1969-08-20,15.1,1.5,1969,8,20
1969-08-21,22.8,0,1969,8,21
1969-08-22,19.3,0,1969,8,22
1969-08-23,16.6,0,1969,8,23
1969-08-24,13.9,0.3,1969,8,24
1969-08-25,14.6,17.5,1969,8,25
1969-08-26,18.5,0,1969,8,26
1969-08-27,28,0,1969,8,27
1969-08-28,39.4,0.5,1969,8,28
1969-08-29,40.8,8.9,1969,8,29
1969-08-30,41.1,0,1969,8,30
1969-08-31,40.2,0,1969,8,31
1969-09-01,40.8,0,1969,9,1
1969-09-02,37.4,0,1969,9,2
1969-09-03,34.8,0,1969,9,3
1969-09-04,32.3,0,1969,9,4
1969-09-05,30.3,0,1969,9,5
1969-09-06,28.6,0,1969,9,6
1969-09-07,28,0,1969,9,7
1969-09-08,28.2,0,1969,9,8
1969-09-09,27.6,0,1969,9,9
1969-09-10,25.8,0,1969,9,10
1969-09-11,24.6,0,1969,9,11
1969-09-12,23.8,13.7,1969,9,12
1969-09-13,23.1,0.3,1969,9,13
1969-09-14,22.4,0,1969,9,14
1969-09-15,21.8,0,1969,9,15
1969-09-16,21.2,0,1969,9,16
1969-09-17,20.6,0,1969,9,17
1969-09-18,20,2.3,1969,9,18
1969-09-19,19.5,0,1969,9,19
1969-09-20,19,0,1969,9,20
1969-09-21,18.5,0,1969,9,21
1969-09-22,18.1,4.1,1969,9,22
1969-09-23,17.7,0,1969,9,23
1969-09-24,17.3,1.3,1969,9,24
1969-09-25,16.9,9.7,1969,9,25
1969-09-26,16.5,2.8,1969,9,26
1969-09-27,16.2,0.8,1969,9,27
1969-09-28,15.9,0,1969,9,28
1969-09-29,15.6,0,1969,9,29
1969-09-30,15.3,0,1969,9,30
1969-10-01,15,0.3,1969,10,1
1969-10-02,14.7,0,1969,10,2
1969-10-03,14.4,0,1969,10,3
1969-10-04,14.2,0,1969,10,4
1969-10-05,14,0,1969,10,5
1969-10-06,13.9,0,1969,10,6
1969-10-07,13.7,0,1969,10,7
1969-10-08,13.6,0,1969,10,8
1969-10-09,13.4,0.3,1969,10,9
1969-10-10,13.3,0,1969,10,10
1969-10-11,13.1,0,1969,10,11
1969-10-12,13,0,1969,10,12
1969-10-13,12.8,0,1969,10,13
1969-10-14,12.6,0,1969,10,14
1969-10-15,12.4,0,1969,10,15
1969-10-16,12.1,0,1969,10,16
1969-10-17,11.9,0.3,1969,10,17
1969-10-18,11.5,0,1969,10,18
1969-10-19,11,0.8,1969,10,19
1969-10-20,10.4,0,1969,10,20
1969-10-21,9.88,0,1969,10,21
1969-10-22,9.4,0,1969,10,22
1969-10-23,9,0.3,1969,10,23
1969-10-24,8.6,0,1969,10,24
1969-10-25,8.2,0,1969,10,25
1969-10-26,7.8,0,1969,10,26
1969-10-27,7.4,0,1969,10,27
1969-10-28,7.1,0,1969,10,28
1969-10-29,6.7,0,1969,10,29
1969-10-30,6.4,0,1969,10,30
1969-10-31,6.1,0,1969,10,31
1969-11-01,5.8,0,1969,11,1
1969-11-02,5.5,0.5,1969,11,2
1969-11-03,5.2,10.7,1969,11,3
1969-11-04,5,0.5,1969,11,4
1969-11-05,4.8,0,1969,11,5
1969-11-06,4.6,0,1969,11,6
1969-11-07,4.4,0,1969,11,7
1969-11-08,4.2,0,1969,11,8
1969-11-09,4,0,1969,11,9
1969-11-10,3.8,0,1969,11,10
1969-11-11,3.65,9.9,1969,11,11
1969-11-12,3.45,1,1969,11,12
1969-11-13,3.3,3.6,1969,11,13
1969-11-14,3.15,0,1969,11,14
1969-11-15,3,0.3,1969,11,15
1969-11-16,2.85,2.8,1969,11,16
1969-11-17,2.75,1.5,1969,11,17
