Date,Year,Month,Streamflow,Precipitation
01/09/1961,1961,9,574,62.98
01/10/1961,1961,10,415,32.69
01/11/1961,1961,11,315,31.28
01/12/1961,1961,12,284,23.56
01/01/1962,1962,1,244,29.2
01/02/1962,1962,2,213,15.58
01/03/1962,1962,3,227,14.1
01/04/1962,1962,4,220,21.39
01/05/1962,1962,5,2280,29.97
01/06/1962,1962,6,2280,53.67
01/07/1962,1962,7,840,19.94
01/08/1962,1962,8,482,63.96
01/09/1962,1962,9,575,40.43
01/10/1962,1962,10,333,45.78
01/11/1962,1962,11,291,32.61
01/12/1962,1962,12,282,24.51
01/01/1963,1963,1,238,15.45
01/02/1963,1963,2,214,30.13
01/03/1963,1963,3,189,31.57
01/04/1963,1963,4,197,25.99
01/05/1963,1963,5,284,16.1
01/06/1963,1963,6,3950,34.72
01/07/1963,1963,7,1310,63.91
01/08/1963,1963,8,643,18.89
01/09/1963,1963,9,613,82.75
01/10/1963,1963,10,589,33.27
01/11/1963,1963,11,414,54.58
01/12/1963,1963,12,357,20.91
01/01/1964,1964,1,273,7.36
01/02/1964,1964,2,213,4.88
01/03/1964,1964,3,190,9.63
01/04/1964,1964,4,195,6.46
01/05/1964,1964,5,1100,32.67
01/06/1964,1964,6,3070,89.17
01/07/1964,1964,7,943,49.84
01/08/1964,1964,8,533,68.43
01/09/1964,1964,9,540,28.11
01/10/1964,1964,10,605,52.26
01/11/1964,1964,11,512,25.89
01/12/1964,1964,12,306,16.38
01/01/1965,1965,1,245,11.18
01/02/1965,1965,2,203,9.04
01/03/1965,1965,3,175,22.93
01/04/1965,1965,4,168,14.39
01/05/1965,1965,5,653,35.19
01/06/1965,1965,6,3470,17.79
01/07/1965,1965,7,1260,159.13
01/08/1965,1965,8,1170,69.84
01/09/1965,1965,9,1160,66.27
01/10/1965,1965,10,1380,54.03
01/11/1965,1965,11,704,27.66
01/12/1965,1965,12,491,22.6
01/01/1966,1966,1,348.4,38.74
01/02/1966,1966,2,291.1,15.56
01/03/1966,1966,3,260.6,27.71
01/04/1966,1966,4,278.4,10.98
01/05/1966,1966,5,366,26.62
01/06/1966,1966,6,3650,40.52
01/07/1966,1966,7,1280,48.79
01/08/1966,1966,8,997,121.64
01/09/1966,1966,9,954,82.34
01/10/1966,1966,10,736,52.81
01/11/1966,1966,11,679,46.22
01/12/1966,1966,12,443,16.48
01/01/1967,1967,1,348.4,42.59
01/02/1967,1967,2,291.1,24.38
01/03/1967,1967,3,206,31.74
01/04/1967,1967,4,143,31.21
01/05/1967,1967,5,2640,23.69
01/06/1967,1967,6,1930,24.98
01/07/1967,1967,7,821,31.88
01/08/1967,1967,8,513,12.36
01/09/1967,1967,9,437,44.97
01/10/1967,1967,10,513,64.35
01/11/1967,1967,11,431,32.33
01/12/1967,1967,12,359,20.64
01/01/1968,1968,1,348.4,8.96
01/02/1968,1968,2,291.1,15.57
01/03/1968,1968,3,260.6,22.09
01/04/1968,1968,4,278.4,52.49
01/05/1968,1968,5,1129,32.65
01/06/1968,1968,6,2910,100.35
01/07/1968,1968,7,1470,73.85
01/08/1968,1968,8,715,66.15
01/09/1968,1968,9,662,50.93
01/10/1968,1968,10,678,25.04
01/11/1968,1968,11,585,16.47
01/12/1968,1968,12,455,18.83
01/01/1969,1969,1,207,13.98
01/02/1969,1969,2,165,12.9
01/03/1969,1969,3,143,19.37
01/04/1969,1969,4,278.4,19.25
01/05/1969,1969,5,1129,46.16
01/06/1969,1969,6,3000.4,44.4
01/07/1969,1969,7,1144,66.75
01/08/1969,1969,8,722,60.57
01/09/1969,1969,9,740,49.25
01/10/1969,1969,10,678,20.39
01/11/1969,1969,11,585,59.72
01/12/1969,1969,12,455,18.47
01/01/1970,1970,1,169,29.86
01/02/1970,1970,2,159,17.09
01/03/1970,1970,3,177,14.86
01/04/1970,1970,4,186,18.14
01/05/1970,1970,5,171,32.55
