Date,Year,Month,Streamflow,Precipitation,,,,,,,,
01/08/1967,1967,8,47.0,12.36,,,,,,,,
01/09/1967,1967,9,47.0,44.97,,,,,,,,
01/10/1967,1967,10,56.7,64.35,,,,,,,,
01/11/1967,1967,11,36.9,32.33,,,,,,,,
01/12/1967,1967,12,25.7,20.64,,,,,,,,
01/01/1968,1968,1,30.7,8.96,,,,,,,,
01/02/1968,1968,2,25.8,15.57,,,,,,,,
01/03/1968,1968,3,20.4,22.09,,,,,,,,
01/04/1968,1968,4,29.6,52.49,,,,,,,,
01/05/1968,1968,5,120.0,32.65,,,,,,,,
01/06/1968,1968,6,78.6,100.35,,,,,,,,
01/07/1968,1968,7,107.0,73.85,,,,,,,,
01/08/1968,1968,8,78.5,66.15,,,,,,,,
01/09/1968,1968,9,72.4,50.93,,,,,,,,
01/10/1968,1968,10,71.8,25.04,,,,,,,,
01/11/1968,1968,11,53.0,16.47,,,,,,,,
01/12/1968,1968,12,16.8,18.83,,,,,,,,
01/01/1969,1969,1,18.2,13.98,,,,,,,,
01/02/1969,1969,2,15.6,12.90,,,,,,,,
01/03/1969,1969,3,13.5,19.37,,,,,,,,
01/04/1969,1969,4,13.2,19.25,,,,,,,,
01/05/1969,1969,5,43.8,46.16,,,,,,,,
01/06/1969,1969,6,222.0,44.44,,,,,,,,
01/07/1969,1969,7,87.2,66.75,,,,,,,,
01/08/1969,1969,8,44.6,60.57,,,,,,,,
01/09/1969,1969,9,50.0,49.25,,,,,,,,
01/10/1969,1969,10,39.0,20.39,,,,,,,,
01/11/1969,1969,11,27.5,59.72,,,,,,,,
01/12/1969,1969,12,23.1,18.47,,,,,,,,
01/01/1970,1970,1,22.5,29.86,,,,,,,,
01/02/1970,1970,2,20.7,17.09,,,,,,,,
01/03/1970,1970,3,19.6,14.86,,,,,,,,
01/04/1970,1970,4,19.5,18.14,,,,,,,,
01/05/1970,1970,5,60.4,32.55,,,,,,,,
01/06/1970,1970,6,263.0,36.00,,,,,,,,
01/07/1970,1970,7,99.4,47.82,,,,,,,,
01/08/1970,1970,8,51.6,21.25,,,,,,,,
01/09/1970,1970,9,57.5,62.37,,,,,,,,
01/10/1970,1970,10,46.6,23.24,,,,,,,,
01/11/1970,1970,11,35.2,55.09,,,,,,,,
01/12/1970,1970,12,26.7,32.69,,,,,,,,
01/01/1971,1971,1,21.6,41.03,,,,,,,,
01/02/1971,1971,2,19.3,4.24,,,,,,,,
01/03/1971,1971,3,17.4,22.36,,,,,,,,
01/04/1971,1971,4,15.7,43.08,,,,,,,,
01/05/1971,1971,5,122.0,46.55,,,,,,,,
01/06/1971,1971,6,354.0,71.85,,,,,,,,
01/07/1971,1971,7,188.0,50.65,,,,,,,,
01/08/1971,1971,8,117.0,54.71,,,,,,,,
01/09/1971,1971,9,108.0,88.20,,,,,,,,
01/10/1971,1971,10,119.0,73.04,,,,,,,,
01/11/1971,1971,11,90.8,50.30,,,,,,,,
01/12/1971,1971,12,50.0,24.16,,,,,,,,
01/01/1972,1972,1,33.5,24.35,,,,,,,,
01/02/1972,1972,2,24.9,21.90,,,,,,,,
01/03/1972,1972,3,23.1,28.03,,,,,,,,
01/04/1972,1972,4,24.8,14.46,,,,,,,,
01/05/1972,1972,5,96.2,53.15,,,,,,,,
01/06/1972,1972,6,442.0,74.74,,,,,,,,
01/07/1972,1972,7,100.0,60.77,,,,,,,,
01/08/1972,1972,8,165.0,98.46,,,,,,,,
01/09/1972,1972,9,140.0,65.92,,,,,,,,
01/10/1972,1972,10,147.0,50.72,,,,,,,,
01/11/1972,1972,11,92.1,25.03,,,,,,,,
01/12/1972,1972,12,54.8,32.94,,,,,,,,
01/01/1973,1973,1,40.4,27.39,,,,,,,,
01/02/1973,1973,2,31.9,11.52,,,,,,,,
01/03/1973,1973,3,28.4,23.79,,,,,,,,
01/04/1973,1973,4,46.5,26.75,,,,,,,,
01/05/1973,1973,5,242.0,20.30,,,,,,,,
01/06/1973,1973,6,140.0,34.90,,,,,,,,
01/07/1973,1973,7,116.0,99.84,,,,,,,,
01/08/1973,1973,8,81.6,51.75,,,,,,,,
01/09/1973,1973,9,130.0,106.23,,,,,,,,
01/10/1973,1973,10,98.4,45.26,,,,,,,,
01/11/1973,1973,11,84.4,36.75,,,,,,,,
01/12/1973,1973,12,52.4,40.49,,,,,,,,
01/01/1974,1974,1,37.8,42.00,,,,,,,,
01/02/1974,1974,2,31.2,11.22,,,,,,,,
01/03/1974,1974,3,25.5,29.15,,,,,,,,
01/04/1974,1974,4,21.7,30.86,,,,,,,,
01/05/1974,1974,5,247.0,21.78,,,,,,,,
01/06/1974,1974,6,252.0,24.95,,,,,,,,
01/07/1974,1974,7,111.0,39.71,,,,,,,,
01/08/1974,1974,8,72.8,37.79,,,,,,,,
01/09/1974,1974,9,96.2,39.06,,,,,,,,
01/10/1974,1974,10,66.4,47.70,,,,,,,,
01/11/1974,1974,11,51.7,33.10,,,,,,,,
01/12/1974,1974,12,29.3,29.85,,,,,,,,
01/01/1975,1975,1,26.0,39.16,,,,,,,,
01/02/1975,1975,2,26.7,33.81,,,,,,,,
01/03/1975,1975,3,26.2,24.03,,,,,,,,
01/04/1975,1975,4,27.7,33.16,,,,,,,,
01/05/1975,1975,5,156.0,30.28,,,,,,,,
01/06/1975,1975,6,355.0,57.35,,,,,,,,
01/07/1975,1975,7,131.0,24.84,,,,,,,,
01/08/1975,1975,8,113.0,131.57,,,,,,,,
01/09/1975,1975,9,100.0,41.24,,,,,,,,
01/10/1975,1975,10,92.5,53.12,,,,,,,,
01/11/1975,1975,11,45.1,25.05,,,,,,,,
01/12/1975,1975,12,30.5,45.52,,,,,,,,
01/01/1976,1976,1,20.4,33.58,,,,,,,,
01/02/1976,1976,2,13.3,20.19,,,,,,,,
01/03/1976,1976,3,16.7,22.04,,,,,,,,
01/04/1976,1976,4,26.1,28.61,,,,,,,,
01/05/1976,1976,5,289.0,23.46,,,,,,,,
01/06/1976,1976,6,193.0,60.09,,,,,,,,
01/07/1976,1976,7,107.0,4.21,,,,,,,,
01/08/1976,1976,8,41.5,46.77,,,,,,,,
01/09/1976,1976,9,35.3,92.33,,,,,,,,
01/10/1976,1976,10,54.9,41.57,,,,,,,,
01/11/1976,1976,11,37.5,50.88,,,,,,,,
01/12/1976,1976,12,32.7,24.30,,,,,,,,
01/01/1977,1977,1,23.9,28.10,,,,,,,,
01/02/1977,1977,2,22.5,24.20,,,,,,,,
01/03/1977,1977,3,23.0,28.03,,,,,,,,
01/04/1977,1977,4,30.9,37.15,,,,,,,,
01/05/1977,1977,5,272.0,42.50,,,,,,,,
01/06/1977,1977,6,84.1,61.12,,,,,,,,
01/07/1977,1977,7,63.3,60.77,,,,,,,,
01/08/1977,1977,8,46.4,60.44,,,,,,,,
01/09/1977,1977,9,47.5,53.52,,,,,,,,
01/10/1977,1977,10,41.0,45.26,,,,,,,,
01/11/1977,1977,11,42.4,36.75,,,,,,,,
01/12/1977,1977,12,36.2,31.16,,,,,,,,
01/01/1978,1978,1,30.1,32.52,,,,,,,,
01/02/1978,1978,2,25.4,26.12,,,,,,,,
01/03/1978,1978,3,16.0,46.49,,,,,,,,
01/04/1978,1978,4,30.8,12.14,,,,,,,,
01/05/1978,1978,5,61.0,21.01,,,,,,,,
01/06/1978,1978,6,191.2,64.31,,,,,,,,
01/07/1978,1978,7,132.0,67.23,,,,,,,,
01/08/1978,1978,8,103.0,143.60,,,,,,,,
01/09/1978,1978,9,87.0,98.22,,,,,,,,
01/10/1978,1978,10,112.0,58.08,,,,,,,,
01/11/1978,1978,11,102.0,35.80,,,,,,,,
01/12/1978,1978,12,51.2,39.64,,,,,,,,
01/01/1979,1979,1,34.7,24.80,,,,,,,,
01/02/1979,1979,2,29.1,24.61,,,,,,,,
01/03/1979,1979,3,17.8,32.17,,,,,,,,
01/04/1979,1979,4,19.0,26.01,,,,,,,,
01/05/1979,1979,5,324.0,32.16,,,,,,,,
01/06/1979,1979,6,211.0,113.43,,,,,,,,
01/07/1979,1979,7,171.0,78.43,,,,,,,,
01/08/1979,1979,8,217.0,24.06,,,,,,,,
01/09/1979,1979,9,131.0,43.63,,,,,,,,
01/10/1979,1979,10,94.0,32.88,,,,,,,,
01/11/1979,1979,11,53.2,39.97,,,,,,,,
01/12/1979,1979,12,43.0,38.21,,,,,,,,
01/01/1980,1980,1,39.8,25.97,,,,,,,,
01/02/1980,1980,2,31.8,19.48,,,,,,,,
01/03/1980,1980,3,23.2,12.19,,,,,,,,
01/04/1980,1980,4,28.7,36.35,,,,,,,,
01/05/1980,1980,5,155.0,18.52,,,,,,,,
01/06/1980,1980,6,89.2,51.08,,,,,,,,
01/07/1980,1980,7,72.9,155.75,,,,,,,,
01/08/1980,1980,8,68.7,60.25,,,,,,,,
01/09/1980,1980,9,97.2,64.41,,,,,,,,
01/10/1980,1980,10,76.9,37.37,,,,,,,,
01/11/1980,1980,11,68.5,62.35,,,,,,,,
01/12/1980,1980,12,67.2,56.67,,,,,,,,
01/01/1981,1981,1,65.4,23.20,,,,,,,,
01/02/1981,1981,2,67.1,20.62,,,,,,,,
01/03/1981,1981,3,44.4,35.25,,,,,,,,
01/04/1981,1981,4,25.6,25.21,,,,,,,,
01/05/1981,1981,5,161.8,28.96,,,,,,,,
01/06/1981,1981,6,191.2,64.74,,,,,,,,
01/07/1981,1981,7,97.5,118.23,,,,,,,,
01/08/1981,1981,8,68.5,37.44,,,,,,,,
01/09/1981,1981,9,96.4,45.18,,,,,,,,
01/10/1981,1981,10,79.3,27.32,,,,,,,,
01/11/1981,1981,11,39.4,17.09,,,,,,,,
01/12/1981,1981,12,28.7,36.55,,,,,,,,
01/01/1982,1982,1,29.3,26.40,,,,,,,,
01/02/1982,1982,2,31.0,21.50,,,,,,,,
01/03/1982,1982,3,26.6,5.67,,,,,,,,
01/04/1982,1982,4,31.3,26.92,,,,,,,,
01/05/1982,1982,5,221.0,49.01,,,,,,,,
01/06/1982,1982,6,142.0,47.61,,,,,,,,
01/07/1982,1982,7,81.3,37.54,,,,,,,,
01/08/1982,1982,8,54.1,38.45,,,,,,,,
01/09/1982,1982,9,50.7,64.89,,,,,,,,
01/10/1982,1982,10,54.7,39.70,,,,,,,,
01/11/1982,1982,11,31.1,55.64,,,,,,,,
01/12/1982,1982,12,20.7,42.75,,,,,,,,
01/01/1983,1983,1,17.2,28.06,,,,,,,,
01/02/1983,1983,2,14.5,25.49,,,,,,,,
01/03/1983,1983,3,13.0,33.19,,,,,,,,
01/04/1983,1983,4,12.2,13.78,,,,,,,,
01/05/1983,1983,5,161.8,35.99,,,,,,,,
01/06/1983,1983,6,191.2,33.90,,,,,,,,
01/07/1983,1983,7,103.0,44.22,,,,,,,,
01/08/1983,1983,8,79.0,37.99,,,,,,,,
01/09/1983,1983,9,80.7,46.11,,,,,,,,
01/10/1983,1983,10,81.2,80.81,,,,,,,,
01/11/1983,1983,11,40.6,38.36,,,,,,,,
01/12/1983,1983,12,53.0,39.04,,,,,,,,
01/01/1984,1984,1,37.1,24.69,,,,,,,,
01/02/1984,1984,2,31.1,24.98,,,,,,,,
01/03/1984,1984,3,26.5,17.67,,,,,,,,
01/04/1984,1984,4,26.1,24.80,,,,,,,,
01/05/1984,1984,5,129.0,24.23,,,,,,,,
01/06/1984,1984,6,122.0,43.21,,,,,,,,
01/07/1984,1984,7,122.0,108.14,,,,,,,,
01/08/1984,1984,8,101.0,62.85,,,,,,,,
01/09/1984,1984,9,123.0,45.74,,,,,,,,
01/10/1984,1984,10,79.1,43.31,,,,,,,,
01/11/1984,1984,11,40.5,33.97,,,,,,,,
01/12/1984,1984,12,35.2,47.38,,,,,,,,
01/01/1985,1985,1,31.7,39.68,,,,,,,,
01/02/1985,1985,2,28.4,8.25,,,,,,,,
01/03/1985,1985,3,31.1,18.34,,,,,,,,
01/04/1985,1985,4,32.6,32.94,,,,,,,,
01/05/1985,1985,5,161.8,51.66,,,,,,,,
01/06/1985,1985,6,191.2,24.40,,,,,,,,
01/07/1985,1985,7,103.0,77.19,,,,,,,,
01/08/1985,1985,8,79.0,100.52,,,,,,,,
01/09/1985,1985,9,80.7,27.67,,,,,,,,
01/10/1985,1985,10,84.3,41.60,,,,,,,,
01/11/1985,1985,11,56.4,14.24,,,,,,,,
01/12/1985,1985,12,38.9,20.60,,,,,,,,
01/01/1986,1986,1,35.7,33.86,,,,,,,,
01/02/1986,1986,2,29.6,21.33,,,,,,,,
01/03/1986,1986,3,24.2,33.66,,,,,,,,
01/04/1986,1986,4,33.3,52.95,,,,,,,,
01/05/1986,1986,5,113.0,42.54,,,,,,,,
01/06/1986,1986,6,160.0,64.67,,,,,,,,
01/07/1986,1986,7,154.0,115.68,,,,,,,,
01/08/1986,1986,8,180.0,44.57,,,,,,,,
01/09/1986,1986,9,125.0,90.60,,,,,,,,
01/10/1986,1986,10,170.0,55.06,,,,,,,,
